Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.26,,0.0
2024-08-31,59.95,$-9.16,0.0
2024-05-31,46.24,$-8.52,0.0
2024-02-29,41.31,$-6.95,0.0
2023-11-30,34.75,$-8.18,0.0
2023-08-31,34.69,$-7.39,0.0
2023-05-31,28.98,$0.57,50.88
2023-02-28,36.05,$3.41,10.57
2022-11-30,35.97,$6.18,5.82
2022-08-31,30.13,$10.41,2.89
2022-05-31,30.74,$8.75,3.51
2022-02-28,32.77,$6.13,5.35
2021-11-30,34.37,$5.22,6.59
2021-08-31,33.61,$2.28,14.71
2021-05-31,29.01,$2.50,11.62
2021-02-28,26.06,$4.07,6.4
2020-11-30,20.26,$6.47,3.13
2020-08-31,15.53,$5.20,2.98
2020-05-31,12.86,$1.71,7.5
2020-02-29,17.1,$-3.92,0.0
2019-11-30,18.02,$-3.34,0.0
2019-08-31,14.94,$-3.19,0.0
2019-05-31,14.07,$-1.71,0.0
2019-02-28,16.03,$0.61,26.32
2018-11-30,17.17,$2.31,7.42
2018-09-30,17.16,$-2.07,0.0
2018-06-30,17.68,$-2.13,0.0
2018-05-31,16.93,$-2.95,0.0
2018-03-31,17.59,$-0.52,0.0
2017-12-31,20.41,$4.73,4.32
2017-11-30,20.2,$0.89,22.57
2017-09-30,19.39,$2.69,7.21
2017-06-30,20.08,$1.95,10.29
2017-03-31,19.91,$2.08,9.59
2016-12-31,17.76,$4.11,4.32
2016-09-30,14.51,$0.36,40.5
2016-06-30,13.16,$0.75,17.67
2016-03-31,12.24,$-5.23,0.0
2015-12-31,13.11,$-6.49,0.0
2015-09-30,15.22,$-7.82,0.0
2015-06-30,18.18,$-10.11,0.0
2018-02-28,18.49,$-6.88,0.0
2014-12-31,16.7,$-10.24,0.0
2014-09-30,17.71,$-4.51,0.0
2014-06-30,19.43,$-10.46,0.0
2014-03-31,20.7,$-8.74,0.0
2013-12-31,20.9,$-2.52,0.0
2015-03-31,16.65,$-7.05,0.0
2013-09-30,20.05,$2.32,8.64
2013-06-30,19.25,$1.82,10.6
2013-03-31,20.1,$0.51,39.6
2012-12-31,16.93,$5.54,3.05
2012-09-30,16.01,$0.87,18.46
2012-06-30,14.97,$0.17,87.7
2012-03-31,18.37,$-0.17,0.0
2011-12-31,16.01,$-4.48,0.0
2011-09-30,15.78,$0.03,460.18
2011-06-30,23.73,$0.38,62.63
2011-03-31,26.13,$0.35,73.84
2010-12-31,20.31,$2.83,7.18
2010-09-30,16.29,$0.09,177.87
2010-06-30,13.46,$-0.57,0.0
2010-03-31,17.11,$-0.58,0.0
2009-12-31,16.41,$-1.17,0.0
