Shopify Price to Free Cash Flow Ratio Historical Data,Shopify Price to Free Cash Flow Ratio Historical Data,Shopify Price to Free Cash Flow Ratio Historical Data,Shopify Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,81.63,,82.43
2024-06-30,66.05,$0.99,66.7
2024-03-31,77.17,$0.81,95.01
2023-12-31,77.9,$0.70,111.51
2023-09-30,54.57,$0.42,128.49
2023-06-30,64.6,$0.10,663.24
2023-03-31,47.94,$-0.05,0.0
2022-12-31,34.71,$-0.15,0.0
2022-09-30,26.94,$-0.01,0.0
2022-06-30,31.24,$0.13,237.93
2022-03-31,67.6,$0.25,275.68
2021-12-31,137.74,$0.38,361.8
2021-09-30,135.58,$0.37,369.83
2021-06-30,146.1,$0.41,360.29
2021-03-31,110.65,$0.50,221.08
2020-12-31,113.2,$0.31,364.67
2020-09-30,102.3,$0.15,679.71
2020-06-30,94.92,$0.05,1894.61
2020-03-31,41.69,$-0.09,0.0
2019-12-31,39.76,$0.01,3232.36
2019-09-30,31.17,$-0.02,0.0
2019-06-30,30.02,$0.01,2084.38
2019-03-31,20.66,$0.00,0.0
2018-12-31,13.85,$-0.02,0.0
2018-09-30,16.45,$-0.01,0.0
2018-06-30,14.59,$-0.02,0.0
2018-03-31,12.46,$-0.02,0.0
2017-12-31,10.1,$-0.01,0.0
2017-09-30,11.65,$-0.02,0.0
2017-06-30,8.69,$-0.02,0.0
2017-03-31,6.81,$-0.01,0.0
2016-12-31,4.29,$-0.01,0.0
2016-09-30,4.29,$-0.01,0.0
2016-06-30,3.08,$-0.02,0.0
2016-03-31,2.82,$-0.00,0.0
