Diageo Price to Free Cash Flow Ratio Historical Data,Diageo Price to Free Cash Flow Ratio Historical Data,Diageo Price to Free Cash Flow Ratio Historical Data,Diageo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,137.92,,inf
2024-06-30,123.7,0.0,0.0
2023-06-30,165.99,0.0,0.0
2022-12-31,169.01,0.0,0.0
2022-06-30,163.29,0.0,0.0
2021-12-31,204.82,0.0,0.0
2021-06-30,176.11,0.0,0.0
2020-12-31,144.53,0.0,0.0
2020-06-30,120.41,0.0,0.0
2019-12-31,149.49,0.0,0.0
2019-06-30,151.02,0.0,0.0
2018-06-30,123.31,0.0,0.0
2017-12-31,123.77,0.0,0.0
2017-06-30,100.02,0.0,0.0
2016-12-31,85.87,0.0,0.0
2016-06-30,91.77,0.0,0.0
2015-12-31,87.6,0.0,0.0
2015-06-30,91.41,0.0,0.0
2014-12-31,88.92,0.0,0.0
2014-06-30,97.5,0.0,0.0
2013-12-31,100.39,0.0,0.0
2013-06-30,85.95,0.0,0.0
2012-12-31,86.35,0.0,0.0
2012-06-30,75.18,0.0,0.0
2018-12-31,123.19,0.0,0.0
2011-12-31,63.08,0.0,0.0
2011-06-30,57.87,0.0,0.0
2010-12-31,51.87,0.0,0.0
