Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data,Applied Industrial Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,235.15,,26.59
2024-06-30,193.64,$8.84,21.9
2024-03-31,196.81,$10.47,18.79
2023-12-31,171.71,$10.22,16.79
2023-09-30,153.73,$9.19,16.74
2023-06-30,143.68,$8.13,17.67
2023-03-31,140.62,$4.88,28.83
2022-12-31,124.38,$4.41,28.23
2022-09-30,101.17,$3.73,27.11
2022-06-30,94.38,$4.36,21.64
2022-03-31,100.42,$4.04,24.83
2021-12-31,100.11,$3.77,26.52
2021-09-30,87.58,$-0.21,0.0
2021-06-30,88.16,$1.76,49.98
2021-03-31,87.98,$2.48,35.46
2020-12-31,74.95,$2.74,27.36
2020-06-30,59.4,$7.14,8.32
2020-03-31,43.25,$6.16,7.02
2019-12-31,62.8,$6.54,9.6
2019-09-30,53.22,$5.51,9.66
2019-06-30,57.32,$5.63,10.19
2020-09-30,52.72,$3.70,14.25
2019-03-31,55.09,$4.10,13.45
2018-12-31,49.7,$4.42,11.25
2018-09-30,71.77,$3.32,21.63
2018-06-30,64.09,$3.18,20.13
2018-03-31,66.31,$2.84,23.34
2017-12-31,61.68,$3.03,20.38
2017-09-30,59.32,$2.87,20.64
2017-06-30,52.95,$3.82,13.86
2017-03-31,55.21,$3.44,16.03
2016-12-31,52.78,$4.13,12.79
2016-09-30,41.31,$4.52,9.15
2016-06-30,39.67,$3.79,10.47
2016-03-31,37.9,$4.90,7.74
2015-12-31,35.11,$4.37,8.04
2015-09-30,32.86,$4.31,7.63
2015-06-30,33.92,$3.50,9.7
2015-03-31,38.54,$1.94,19.85
2014-12-31,38.5,$1.31,29.39
2014-09-30,38.36,$1.27,30.14
2014-06-30,42.41,$2.14,19.77
2014-03-31,40.11,$1.85,21.68
2013-12-31,40.61,$2.51,16.21
2013-09-30,42.4,$2.24,18.91
2013-06-30,39.61,$2.35,16.82
2013-03-31,36.69,$1.89,19.39
2012-12-31,34.08,$1.66,20.54
2012-09-30,33.42,$1.78,18.77
2012-06-30,29.58,$1.53,19.29
2012-03-31,32.83,$1.26,26.01
2011-12-31,27.93,$1.59,17.54
2011-09-30,21.45,$-2.58,0.0
2011-06-30,27.92,$-2.22,0.0
2011-03-31,25.94,$-1.05,0.0
2010-12-31,25.2,$-1.00,0.0
2010-06-30,19.42,$4.14,4.68
2010-03-31,18.96,$5.22,3.63
2009-12-31,16.73,$3.93,4.26
2009-09-30,15.92,$4.06,3.92
