Dropbox Price to Free Cash Flow Ratio Historical Data,Dropbox Price to Free Cash Flow Ratio Historical Data,Dropbox Price to Free Cash Flow Ratio Historical Data,Dropbox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.37,,10.69
2024-06-30,22.47,$2.47,9.11
2024-03-31,24.3,$2.29,10.61
2023-12-31,29.48,$2.20,13.42
2023-09-30,27.23,$2.13,12.78
2023-06-30,26.67,$2.12,12.58
2023-03-31,21.62,$2.15,10.07
2022-12-31,22.38,$2.10,10.65
2022-09-30,20.72,$2.03,10.2
2022-06-30,20.99,$1.89,11.1
2022-03-31,23.25,$1.87,12.43
2021-12-31,24.54,$1.79,13.72
2021-09-30,29.22,$1.77,16.55
2021-06-30,30.31,$1.66,18.29
2021-03-31,26.66,$1.39,19.15
2020-12-31,22.19,$1.18,18.74
2020-09-30,19.26,$1.19,16.22
2020-06-30,21.77,$0.99,22.05
2020-03-31,18.1,$0.93,19.41
2019-12-31,17.91,$0.95,18.79
2019-09-30,20.17,$0.89,22.67
2019-06-30,25.05,$0.94,26.69
2019-03-31,21.8,$0.86,25.5
2018-12-31,20.43,$1.01,20.22
