Marvell Technology Quarterly Revenue (Millions of US $),Marvell Technology Quarterly Revenue (Millions of US $).1
2024-01-31,"$1,427"
2023-10-31,"$1,419"
2023-07-31,"$1,341"
2023-04-30,"$1,322"
2023-01-31,"$1,419"
2022-10-31,"$1,537"
2022-07-31,"$1,517"
2022-04-30,"$1,447"
2022-01-31,"$1,343"
2021-10-31,"$1,211"
2021-07-31,"$1,076"
2021-04-30,$832
2021-01-31,$798
2020-10-31,$750
2020-07-31,$727
2020-04-30,$694
2020-01-31,$718
2019-10-31,$662
2019-07-31,$657
2019-04-30,$662
2019-01-31,$745
2018-10-31,$851
2018-07-31,$665
2018-04-30,$605
2018-01-31,$615
2017-10-31,$616
2017-07-31,$605
2017-04-30,$573
2017-01-31,$561
2016-10-31,$624
2016-07-31,$597
2016-04-30,$519
2016-01-31,$616
2015-10-31,$675
2015-07-31,$710
2015-04-30,$724
2015-01-31,$857
2014-10-31,$930
2014-07-31,$962
2014-04-30,$958
2014-01-31,$932
2013-10-31,$931
2013-07-31,$807
2013-04-30,$734
2013-01-31,$775
2012-10-31,$781
2012-07-31,$816
2012-04-30,$796
2012-01-31,$743
2011-10-31,$950
2011-07-31,$898
2011-04-30,$802
2011-01-31,$901
2010-10-31,$959
2010-07-31,$896
2010-04-30,$856
2010-01-31,$843
2009-10-31,$803
2009-07-31,$641
2009-04-30,$521
2009-01-31,$513
