Xcel Energy Quarterly Revenue (Millions of US $),Xcel Energy Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,649"
2023-12-31,"$3,442"
2023-09-30,"$3,662"
2023-06-30,"$3,022"
2023-03-31,"$4,080"
2022-12-31,"$4,053"
2022-09-30,"$4,082"
2022-06-30,"$3,424"
2022-03-31,"$3,751"
2021-12-31,"$3,355"
2021-09-30,"$3,467"
2021-06-30,"$3,068"
2021-03-31,"$3,541"
2020-12-31,"$2,947"
2020-09-30,"$3,182"
2020-06-30,"$2,586"
2020-03-31,"$2,811"
2019-12-31,"$2,798"
2019-09-30,"$3,013"
2019-06-30,"$2,577"
2019-03-31,"$3,141"
2018-12-31,"$2,880"
2018-09-30,"$3,048"
2018-06-30,"$2,658"
2018-03-31,"$2,951"
2017-12-31,"$2,796"
2017-09-30,"$3,017"
2017-06-30,"$2,645"
2017-03-31,"$2,946"
2016-12-31,"$2,795"
2016-09-30,"$3,040"
2016-06-30,"$2,500"
2016-03-31,"$2,772"
2015-12-31,"$2,645"
2015-09-30,"$2,901"
2015-06-30,"$2,515"
2015-03-31,"$2,962"
2014-12-31,"$2,929"
2014-09-30,"$2,870"
2014-06-30,"$2,685"
2014-03-31,"$3,203"
2013-12-31,"$2,731"
2013-09-30,"$2,822"
2013-06-30,"$2,579"
2013-03-31,"$2,783"
2012-12-31,"$2,551"
2012-09-30,"$2,724"
2012-06-30,"$2,275"
2012-03-31,"$2,578"
2011-12-31,"$2,568"
2011-09-30,"$2,832"
2011-06-30,"$2,438"
2011-03-31,"$2,817"
2010-12-31,"$2,567"
2010-09-30,"$2,629"
2010-06-30,"$2,308"
2010-03-31,"$2,807"
2009-12-31,"$2,618"
2009-09-30,"$2,315"
2009-06-30,"$2,016"
2009-03-31,"$2,696"
