Dollar Tree Quarterly Revenue (Millions of US $),Dollar Tree Quarterly Revenue (Millions of US $).1
2024-01-31,"$8,640"
2023-10-31,"$7,315"
2023-07-31,"$7,325"
2023-04-30,"$7,324"
2023-01-31,"$7,721"
2022-10-31,"$6,940"
2022-07-31,"$6,769"
2022-04-30,"$6,903"
2022-01-31,"$7,081"
2021-10-31,"$6,418"
2021-07-31,"$6,343"
2021-04-30,"$6,480"
2021-01-31,"$6,768"
2020-10-31,"$6,177"
2020-07-31,"$6,278"
2020-04-30,"$6,287"
2020-01-31,"$6,315"
2019-10-31,"$5,746"
2019-07-31,"$5,741"
2019-04-30,"$5,809"
2019-01-31,"$6,205"
2018-10-31,"$5,539"
2018-07-31,"$5,526"
2018-04-30,"$5,554"
2018-01-31,"$6,361"
2017-10-31,"$5,317"
2017-07-31,"$5,281"
2017-04-30,"$5,287"
2017-01-31,"$5,636"
2016-10-31,"$5,002"
2016-07-31,"$4,996"
2016-04-30,"$5,086"
2016-01-31,"$5,365"
2015-10-31,"$4,945"
2015-07-31,"$3,011"
2015-04-30,"$2,177"
2015-01-31,"$2,476"
2014-10-31,"$2,095"
2014-07-31,"$2,031"
2014-04-30,"$2,000"
2014-01-31,"$2,235"
2013-10-31,"$1,885"
2013-07-31,"$1,855"
2013-04-30,"$1,866"
2013-01-31,"$2,246"
2012-10-31,"$1,721"
2012-07-31,"$1,705"
2012-04-30,"$1,724"
2012-01-31,"$1,946"
2011-10-31,"$1,597"
2011-07-31,"$1,542"
2011-04-30,"$1,546"
2011-01-31,"$1,725"
2010-10-31,"$1,427"
2010-07-31,"$1,378"
2010-04-30,"$1,353"
2010-01-31,"$1,559"
2009-10-31,"$1,249"
2009-07-31,"$1,223"
2009-04-30,"$1,201"
2009-01-31,"$1,387"
