MercadoLibre Quarterly Revenue (Millions of US $),MercadoLibre Quarterly Revenue (Millions of US $).1
2024-03-31,"$4,333"
2023-12-31,"$4,112"
2023-09-30,"$3,760"
2023-06-30,"$3,415"
2023-03-31,"$3,186"
2022-12-31,"$3,002"
2022-09-30,"$2,690"
2022-06-30,"$2,597"
2022-03-31,"$2,248"
2021-12-31,"$2,130"
2021-09-30,"$1,858"
2021-06-30,"$1,703"
2021-03-31,"$1,378"
2020-12-31,"$1,328"
2020-09-30,"$1,116"
2020-06-30,$878
2020-03-31,$652
2019-12-31,$674
2019-09-30,$603
2019-06-30,$545
2019-03-31,$474
2018-12-31,$428
2018-09-30,$355
2018-06-30,$335
2018-03-31,$321
2017-12-31,$358
2017-09-30,$305
2017-06-30,$284
2017-03-31,$270
2016-12-31,$256
2016-09-30,$231
2016-06-30,$200
2016-03-31,$158
2015-12-31,$181
2015-09-30,$169
2015-06-30,$154
2015-03-31,$148
2014-12-31,$161
2014-09-30,$148
2014-06-30,$132
2014-03-31,$115
2013-12-31,$135
2013-09-30,$123
2013-06-30,$112
2013-03-31,$103
2012-12-31,$104
2012-09-30,$97
2012-06-30,$89
2012-03-31,$84
2011-12-31,$86
2011-09-30,$82
2011-06-30,$69
2011-03-31,$61
2010-12-31,$62
2010-09-30,$56
2010-06-30,$53
2010-03-31,$46
2009-12-31,$49
2009-09-30,$51
2009-06-30,$41
2009-03-31,$32
