Lululemon Athletica Inc Quarterly Revenue (Millions of US $),Lululemon Athletica Inc Quarterly Revenue (Millions of US $).1
2024-01-31,"$3,205"
2023-10-31,"$2,204"
2023-07-31,"$2,209"
2023-04-30,"$2,001"
2023-01-31,"$2,772"
2022-10-31,"$1,857"
2022-07-31,"$1,868"
2022-04-30,"$1,613"
2022-01-31,"$2,129"
2021-10-31,"$1,450"
2021-07-31,"$1,451"
2021-04-30,"$1,226"
2021-01-31,"$1,730"
2020-10-31,"$1,117"
2020-07-31,$903
2020-04-30,$652
2020-01-31,"$1,397"
2019-10-31,$916
2019-07-31,$883
2019-04-30,$782
2019-01-31,"$1,167"
2018-10-31,$748
2018-07-31,$724
2018-04-30,$650
2018-01-31,$929
2017-10-31,$619
2017-07-31,$581
2017-04-30,$520
2017-01-31,$790
2016-10-31,$544
2016-07-31,$515
2016-04-30,$496
2016-01-31,$704
2015-10-31,$480
2015-07-31,$453
2015-04-30,$424
2015-01-31,$602
2014-10-31,$419
2014-07-31,$391
2014-04-30,$385
2014-01-31,$521
2013-10-31,$380
2013-07-31,$345
2013-04-30,$346
2013-01-31,$485
2012-10-31,$317
2012-07-31,$283
2012-04-30,$286
2012-01-31,$372
2011-10-31,$230
2011-07-31,$212
2011-04-30,$187
2011-01-31,$245
2010-10-31,$176
2010-07-31,$152
2010-04-30,$138
2010-01-31,$161
2009-10-31,$113
2009-07-31,$98
2009-04-30,$82
2009-01-31,$104
