GlobalFoundries Quarterly Revenue (Millions of US $),GlobalFoundries Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,549"
2023-12-31,"$1,854"
2023-09-30,"$1,852"
2023-06-30,"$1,845"
2023-03-31,"$1,841"
2022-12-31,"$2,101"
2022-09-30,"$2,074"
2022-06-30,"$1,993"
2022-03-31,"$1,940"
2021-12-31,"$1,847"
2021-09-30,"$1,700"
2021-06-30,"$1,620"
2021-03-31,"$1,418"
2020-12-31,
2020-09-30,"$1,091"
2020-06-30,
2019-12-31,
2018-12-31,
