Mondelez Quarterly Revenue (Millions of US $),Mondelez Quarterly Revenue (Millions of US $).1
2024-03-31,"$9,290"
2023-12-31,"$9,314"
2023-09-30,"$9,029"
2023-06-30,"$8,507"
2023-03-31,"$9,166"
2022-12-31,"$8,695"
2022-09-30,"$7,763"
2022-06-30,"$7,274"
2022-03-31,"$7,764"
2021-12-31,"$7,658"
2021-09-30,"$7,182"
2021-06-30,"$6,642"
2021-03-31,"$7,238"
2020-12-31,"$7,298"
2020-09-30,"$6,665"
2020-06-30,"$5,911"
2020-03-31,"$6,707"
2019-12-31,"$6,913"
2019-09-30,"$6,355"
2019-06-30,"$6,062"
2019-03-31,"$6,538"
2018-12-31,"$6,773"
2018-09-30,"$6,288"
2018-06-30,"$6,112"
2018-03-31,"$6,765"
2017-12-31,"$6,966"
2017-09-30,"$6,530"
2017-06-30,"$5,986"
2017-03-31,"$6,414"
2016-12-31,"$6,770"
2016-09-30,"$6,396"
2016-06-30,"$6,302"
2016-03-31,"$6,455"
2015-12-31,"$7,364"
2015-09-30,"$6,849"
2015-06-30,"$7,661"
2015-03-31,"$7,762"
2014-12-31,"$8,830"
2014-09-30,"$8,337"
2014-06-30,"$8,436"
2014-03-31,"$8,641"
2013-12-31,"$9,488"
2013-09-30,"$8,472"
2013-06-30,"$8,595"
2013-03-31,"$8,744"
2012-12-31,"$9,495"
2012-09-30,"$8,326"
2012-06-30,"$8,527"
2012-03-31,"$8,667"
2011-12-31,"$9,679"
2011-09-30,"$13,226"
2011-06-30,"$13,878"
2011-03-31,"$12,573"
2010-12-31,"$13,773"
2010-09-30,"$11,863"
2010-06-30,"$12,253"
2010-03-31,"$11,318"
2009-12-31,"$10,597"
2009-09-30,"$9,397"
2009-06-30,"$9,781"
2009-03-31,"$8,979"
