NXP Semiconductors Quarterly Revenue (Millions of US $),NXP Semiconductors Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,126"
2023-12-31,"$3,422"
2023-09-30,"$3,434"
2023-06-30,"$3,299"
2023-03-31,"$3,121"
2022-12-31,"$3,312"
2022-09-30,"$3,445"
2022-06-30,"$3,312"
2022-03-31,"$3,136"
2021-12-31,"$3,039"
2021-09-30,"$2,861"
2021-06-30,"$2,596"
2021-03-31,"$2,567"
2020-12-31,"$2,507"
2020-09-30,"$2,267"
2020-06-30,"$1,817"
2020-03-31,"$2,021"
2019-12-31,"$2,301"
2019-09-30,"$2,265"
2019-06-30,"$2,217"
2019-03-31,"$2,094"
2018-12-31,"$2,403"
2018-09-30,"$2,445"
2018-06-30,"$2,290"
2018-03-31,"$2,269"
2017-12-31,"$2,456"
2017-09-30,"$2,387"
2017-06-30,"$2,202"
2017-03-31,"$2,211"
2016-12-31,"$2,440"
2016-09-30,"$2,469"
2016-06-30,"$2,365"
2016-03-31,"$2,224"
2015-12-31,"$1,606"
2015-09-30,"$1,522"
2015-06-30,"$1,506"
2015-03-31,"$1,467"
2014-12-31,"$1,537"
2014-09-30,"$1,515"
2014-06-30,"$1,349"
2014-03-31,"$1,246"
2013-12-31,"$1,293"
2013-09-30,"$1,249"
2013-06-30,"$1,188"
2013-03-31,"$1,085"
2012-12-31,"$1,116"
2012-09-30,"$1,170"
2012-06-30,"$1,094"
2012-03-31,$978
2011-12-31,$931
2011-09-30,"$1,060"
2011-06-30,"$1,121"
2011-03-31,"$1,082"
2010-12-31,"$1,078"
2010-09-30,"$1,120"
2010-06-30,"$1,119"
2010-03-31,"$1,085"
2009-12-31,
2009-09-30,"$1,077"
