Fastenal Quarterly Revenue (Millions of US $),Fastenal Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,895"
2023-12-31,"$1,759"
2023-09-30,"$1,846"
2023-06-30,"$1,883"
2023-03-31,"$1,859"
2022-12-31,"$1,696"
2022-09-30,"$1,802"
2022-06-30,"$1,779"
2022-03-31,"$1,704"
2021-12-31,"$1,532"
2021-09-30,"$1,554"
2021-06-30,"$1,508"
2021-03-31,"$1,417"
2020-12-31,"$1,358"
2020-09-30,"$1,413"
2020-06-30,"$1,509"
2020-03-31,"$1,367"
2019-12-31,"$1,277"
2019-09-30,"$1,379"
2019-06-30,"$1,368"
2019-03-31,"$1,309"
2018-12-31,"$1,232"
2018-09-30,"$1,280"
2018-06-30,"$1,268"
2018-03-31,"$1,186"
2017-12-31,"$1,089"
2017-09-30,"$1,133"
2017-06-30,"$1,122"
2017-03-31,"$1,048"
2016-12-31,$948
2016-09-30,"$1,013"
2016-06-30,"$1,014"
2016-03-31,$987
2015-12-31,$923
2015-09-30,$995
2015-06-30,$998
2015-03-31,$953
2014-12-31,$926
2014-09-30,$981
2014-06-30,$950
2014-03-31,$877
2013-12-31,$814
2013-09-30,$858
2013-06-30,$848
2013-03-31,$806
2012-12-31,$757
2012-09-30,$803
2012-06-30,$805
2012-03-31,$769
2011-12-31,$698
2011-09-30,$727
2011-06-30,$702
2011-03-31,$641
2010-12-31,$574
2010-09-30,$604
2010-06-30,$571
2010-03-31,$521
2009-12-31,$477
2009-09-30,$489
2009-06-30,$475
2009-03-31,$489
