CoStar Quarterly Revenue (Millions of US $),CoStar Quarterly Revenue (Millions of US $).1
2024-03-31,$656
2023-12-31,$640
2023-09-30,$625
2023-06-30,$606
2023-03-31,$584
2022-12-31,$573
2022-09-30,$557
2022-06-30,$536
2022-03-31,$516
2021-12-31,$507
2021-09-30,$499
2021-06-30,$480
2021-03-31,$458
2020-12-31,$444
2020-09-30,$426
2020-06-30,$397
2020-03-31,$392
2019-12-31,$375
2019-09-30,$353
2019-06-30,$344
2019-03-31,$328
2018-12-31,$316
2018-09-30,$306
2018-06-30,$297
2018-03-31,$274
2017-12-31,$254
2017-09-30,$248
2017-06-30,$237
2017-03-31,$227
2016-12-31,$218
2016-09-30,$213
2016-06-30,$207
2016-03-31,$200
2015-12-31,$193
2015-09-30,$189
2015-06-30,$171
2015-03-31,$159
2014-12-31,$156
2014-09-30,$153
2014-06-30,$148
2014-03-31,$119
2013-12-31,$116
2013-09-30,$112
2013-06-30,$109
2013-03-31,$104
2012-12-31,$100
2012-09-30,$96
2012-06-30,$85
2012-03-31,$69
2011-12-31,$66
2011-09-30,$64
2011-06-30,$62
2011-03-31,$60
2010-12-31,$58
2010-09-30,$57
2010-06-30,$56
2010-03-31,$55
2009-12-31,$55
2009-09-30,$54
2009-06-30,$50
2009-03-31,$51
