Intuit Quarterly Revenue (Millions of US $),Intuit Quarterly Revenue (Millions of US $).1
2024-01-31,"$3,386"
2023-10-31,"$2,978"
2023-07-31,"$2,712"
2023-04-30,"$6,018"
2023-01-31,"$3,041"
2022-10-31,"$2,597"
2022-07-31,"$2,414"
2022-04-30,"$5,632"
2022-01-31,"$2,673"
2021-10-31,"$2,007"
2021-07-31,"$2,561"
2021-04-30,"$4,173"
2021-01-31,"$1,576"
2020-10-31,"$1,323"
2020-07-31,"$1,816"
2020-04-30,"$3,002"
2020-01-31,"$1,696"
2019-10-31,"$1,165"
2019-07-31,$994
2019-04-30,"$3,272"
2019-01-31,"$1,502"
2018-10-31,"$1,016"
2018-07-31,$864
2018-04-30,"$2,912"
2018-01-31,"$1,339"
2017-10-31,$910
2017-07-31,$861
2017-04-30,"$2,541"
2017-01-31,"$1,016"
2016-10-31,$778
2016-07-31,$754
2016-04-30,"$2,304"
2016-01-31,$923
2015-10-31,$713
2015-07-31,$696
2015-04-30,"$2,135"
2015-01-31,$749
2014-10-31,$612
2014-07-31,$451
2014-04-30,"$2,388"
2014-01-31,$782
2013-10-31,$622
2013-07-31,$409
2013-04-30,"$2,091"
2013-01-31,$884
2012-10-31,$562
2012-07-31,$308
2012-04-30,"$1,926"
2012-01-31,$999
2011-10-31,$575
2011-07-31,$573
2011-04-30,"$1,848"
2011-01-31,$878
2010-10-31,$532
2010-07-31,$485
2010-04-30,"$1,607"
2010-01-31,$837
2009-10-31,$474
2009-07-31,$438
2009-04-30,"$1,417"
2009-01-31,$773
