Trade Desk Quarterly Revenue (Millions of US $),Trade Desk Quarterly Revenue (Millions of US $).1
2024-03-31,$491
2023-12-31,$606
2023-09-30,$493
2023-06-30,$464
2023-03-31,$383
2022-12-31,$491
2022-09-30,$395
2022-06-30,$377
2022-03-31,$315
2021-12-31,$396
2021-09-30,$301
2021-06-30,$280
2021-03-31,$220
2020-12-31,$320
2020-09-30,$216
2020-06-30,$139
2020-03-31,$161
2019-12-31,$216
2019-09-30,$164
2019-06-30,$160
2019-03-31,$121
2018-12-31,$160
2018-09-30,$119
2018-06-30,$112
2018-03-31,$86
2017-12-31,$103
2017-09-30,$79
2017-06-30,$73
2017-03-31,$53
2016-12-31,$72
2016-09-30,$53
2016-06-30,$47
2016-03-31,$30
2015-12-31,
2015-09-30,$29
2014-12-31,
