Diamondback Energy Quarterly Revenue (Millions of US $),Diamondback Energy Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,227"
2023-12-31,"$2,228"
2023-09-30,"$2,340"
2023-06-30,"$1,919"
2023-03-31,"$1,925"
2022-12-31,"$2,030"
2022-09-30,"$2,437"
2022-06-30,"$2,768"
2022-03-31,"$2,408"
2021-12-31,"$2,022"
2021-09-30,"$1,910"
2021-06-30,"$1,681"
2021-03-31,"$1,184"
2020-12-31,$769
2020-09-30,$720
2020-06-30,$425
2020-03-31,$899
2019-12-31,"$1,104"
2019-09-30,$975
2019-06-30,"$1,021"
2019-03-31,$864
2018-12-31,$633
2018-09-30,$537
2018-06-30,$527
2018-03-31,$479
2017-12-31,$399
2017-09-30,$301
2017-06-30,$269
2017-03-31,$235
2016-12-31,$185
2016-09-30,$142
2016-06-30,$112
2016-03-31,$87
2015-12-31,$114
2015-09-30,$112
2015-06-30,$119
2015-03-31,$101
2014-12-31,$132
2014-09-30,$139
2014-06-30,$127
2014-03-31,$98
2013-12-31,$76
2013-09-30,$58
2013-06-30,$45
2013-03-31,$29
2012-12-31,$26
2012-09-30,$17
2012-06-30,$16
2012-03-31,$16
2011-12-31,
2011-09-30,$11
2010-12-31,
