PDD Holdings Quarterly Revenue (Millions of US $),PDD Holdings Quarterly Revenue (Millions of US $).1
2024-03-31,"$12,023"
2023-12-31,"$12,754"
2023-09-30,"$9,435"
2023-06-30,"$7,210"
2023-03-31,"$5,480"
2022-12-31,"$5,491"
2022-09-30,"$4,991"
2022-06-30,"$4,694"
2022-03-31,"$3,753"
2021-12-31,"$4,452"
2021-09-30,"$3,338"
2021-06-30,"$3,569"
2021-03-31,"$3,383"
2020-12-31,"$4,375"
2020-09-30,"$2,093"
2020-06-30,"$1,726"
2020-03-31,$924
2019-12-31,"$1,539"
2019-09-30,"$1,051"
2019-06-30,"$1,062"
2019-03-31,$677
2018-12-31,$787
2018-09-30,$491
2018-06-30,$409
2018-03-31,$221
2017-12-31,
