Exelon Quarterly Revenue (Millions of US $),Exelon Quarterly Revenue (Millions of US $).1
2024-03-31,"$6,043"
2023-12-31,"$5,366"
2023-09-30,"$5,980"
2023-06-30,"$4,818"
2023-03-31,"$5,563"
2022-12-31,"$4,667"
2022-09-30,"$4,845"
2022-06-30,"$4,239"
2022-03-31,"$5,327"
2021-12-31,"$4,423"
2021-09-30,"$4,863"
2021-06-30,"$4,020"
2021-03-31,"$4,632"
2020-12-31,"$-8,259"
2020-09-30,"$8,853"
2020-06-30,"$7,322"
2020-03-31,"$8,747"
2019-12-31,"$8,343"
2019-09-30,"$8,929"
2019-06-30,"$7,689"
2019-03-31,"$9,477"
2018-12-31,"$8,806"
2018-09-30,"$9,403"
2018-06-30,"$8,076"
2018-03-31,"$9,693"
2017-12-31,"$8,378"
2017-09-30,"$8,768"
2017-06-30,"$7,665"
2017-03-31,"$8,747"
2016-12-31,"$7,881"
2016-09-30,"$9,002"
2016-06-30,"$6,910"
2016-03-31,"$7,573"
2015-12-31,"$6,702"
2015-09-30,"$7,401"
2015-06-30,"$6,514"
2015-03-31,"$8,830"
2014-12-31,"$7,256"
2014-09-30,"$6,912"
2014-06-30,"$6,024"
2014-03-31,"$7,237"
2013-12-31,"$6,163"
2013-09-30,"$6,502"
2013-06-30,"$6,141"
2013-03-31,"$6,082"
2012-12-31,"$6,254"
2012-09-30,"$6,579"
2012-06-30,"$5,966"
2012-03-31,"$4,690"
2011-12-31,"$4,357"
2011-09-30,"$5,254"
2011-06-30,"$4,496"
2011-03-31,"$4,956"
2010-12-31,"$4,494"
2010-09-30,"$5,291"
2010-06-30,"$4,398"
2010-03-31,"$4,461"
2009-12-31,"$4,116"
2009-09-30,"$4,339"
2009-06-30,"$4,141"
2009-03-31,"$4,722"
