MongoDB Quarterly Revenue (Millions of US $),MongoDB Quarterly Revenue (Millions of US $).1
2024-01-31,$458
2023-10-31,$433
2023-07-31,$424
2023-04-30,$368
2023-01-31,$361
2022-10-31,$334
2022-07-31,$304
2022-04-30,$285
2022-01-31,$266
2021-10-31,$227
2021-07-31,$199
2021-04-30,$182
2021-01-31,$171
2020-10-31,$151
2020-07-31,$138
2020-04-30,$130
2020-01-31,$124
2019-10-31,$109
2019-07-31,$99
2019-04-30,$89
2019-01-31,$85
2018-10-31,$72
2018-07-31,$60
2018-04-30,$50
2018-01-31,$57
2017-10-31,$41
2017-07-31,$36
2017-04-30,$32
2017-01-31,
2016-10-31,$26
2016-07-31,
2016-01-31,
