Baker Hughes Quarterly Revenue (Millions of US $),Baker Hughes Quarterly Revenue (Millions of US $).1
2024-03-31,"$6,418"
2023-12-31,"$6,834"
2023-09-30,"$6,641"
2023-06-30,"$6,315"
2023-03-31,"$5,716"
2022-12-31,"$5,905"
2022-09-30,"$5,369"
2022-06-30,"$5,047"
2022-03-31,"$4,835"
2021-12-31,"$5,485"
2021-09-30,"$5,093"
2021-06-30,"$5,142"
2021-03-31,"$4,782"
2020-12-31,"$5,495"
2020-09-30,"$5,049"
2020-06-30,"$4,736"
2020-03-31,"$5,425"
2019-12-31,"$6,347"
2019-09-30,"$5,882"
2019-06-30,"$5,994"
2019-03-31,"$5,615"
2018-12-31,"$6,265"
2018-09-30,"$5,665"
2018-06-30,"$5,548"
2018-03-31,"$5,399"
2017-12-31,"$5,799"
2017-09-30,"$5,301"
2017-06-30,"$3,015"
2017-03-31,"$3,064"
2016-12-31,"$4,980"
2016-09-30,"$3,024"
2016-06-30,"$2,408"
2016-03-31,"$2,670"
2015-12-31,"$4,340"
2015-09-30,"$3,786"
2015-06-30,"$3,968"
2015-03-31,"$4,594"
2014-12-31,"$6,635"
2014-09-30,"$6,250"
2014-06-30,"$5,935"
2014-03-31,"$5,731"
2013-12-31,"$5,860"
2013-09-30,"$5,787"
2013-06-30,"$5,487"
2013-03-31,"$5,230"
2012-12-31,"$5,325"
2012-09-30,"$5,355"
2012-06-30,"$5,326"
2012-03-31,"$5,355"
2011-12-31,"$5,501"
2011-09-30,"$5,064"
2011-06-30,"$4,741"
2011-03-31,"$4,525"
2010-12-31,"$4,423"
2010-09-30,"$4,078"
2010-06-30,"$3,374"
2010-03-31,"$2,539"
2009-12-31,"$2,428"
2009-09-30,"$2,232"
2009-06-30,"$2,336"
2009-03-31,"$2,668"
