Take-Two Interactive Software Quarterly Revenue (Millions of US $),Take-Two Interactive Software Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,399"
2023-12-31,"$1,366"
2023-09-30,"$1,299"
2023-06-30,"$1,285"
2023-03-31,"$1,446"
2022-12-31,"$1,408"
2022-09-30,"$1,394"
2022-06-30,"$1,102"
2022-03-31,$930
2021-12-31,$903
2021-09-30,$858
2021-06-30,$813
2021-03-31,$839
2020-12-31,$861
2020-09-30,$841
2020-06-30,$831
2020-03-31,$761
2019-12-31,$930
2019-09-30,$858
2019-06-30,$540
2019-03-31,$539
2018-12-31,"$1,249"
2018-09-30,$493
2018-06-30,$388
2018-03-31,$450
2017-12-31,$481
2017-09-30,$444
2017-06-30,$418
2017-03-31,$572
2016-12-31,$476
2016-09-30,$420
2016-06-30,$312
2016-03-31,$377
2015-12-31,$414
2015-09-30,$347
2015-06-30,$275
2015-03-31,$300
2014-12-31,$531
2014-09-30,$126
2014-06-30,$125
2014-03-31,$195
2013-12-31,"$1,864"
2013-09-30,$149
2013-06-30,$143
2013-03-31,$299
2012-12-31,$416
2012-09-30,$273
2012-06-30,$226
2012-03-31,$148
2011-12-31,$236
2011-09-30,$107
2011-06-30,$334
2011-03-31,$73
2010-12-31,$334
2010-09-30,$245
2010-07-31,$354
2010-06-30,$375
2010-04-30,$268
2010-03-31,$144
2010-01-31,$163
2009-12-31,$360
2009-10-31,
2009-07-31,$95
2009-04-30,$174
2009-01-31,$149
