Fortinet Quarterly Revenue (Millions of US $),Fortinet Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,353"
2023-12-31,"$1,415"
2023-09-30,"$1,335"
2023-06-30,"$1,293"
2023-03-31,"$1,262"
2022-12-31,"$1,283"
2022-09-30,"$1,150"
2022-06-30,"$1,030"
2022-03-31,$955
2021-12-31,$964
2021-09-30,$867
2021-06-30,$801
2021-03-31,$710
2020-12-31,$748
2020-09-30,$651
2020-06-30,$618
2020-03-31,$578
2019-12-31,$621
2019-09-30,$548
2019-06-30,$522
2019-03-31,$473
2018-12-31,$510
2018-09-30,$454
2018-06-30,$441
2018-03-31,$399
2017-12-31,$417
2017-09-30,$374
2017-06-30,$364
2017-03-31,$341
2016-12-31,$363
2016-09-30,$317
2016-06-30,$311
2016-03-31,$285
2015-12-31,$297
2015-09-30,$260
2015-06-30,$240
2015-03-31,$213
2014-12-31,$224
2014-09-30,$193
2014-06-30,$184
2014-03-31,$169
2013-12-31,$177
2013-09-30,$155
2013-06-30,$147
2013-03-31,$136
2012-12-31,$151
2012-09-30,$136
2012-06-30,$129
2012-03-31,$117
2011-12-31,$121
2011-09-30,$116
2011-06-30,$103
2011-03-31,$93
2010-12-31,$94
2010-09-30,$85
2010-06-30,$76
2010-03-31,$70
2009-12-31,$71
2009-09-30,$66
2009-06-30,$61
2009-03-31,$54
