NVIDIA Quarterly Revenue (Millions of US $),NVIDIA Quarterly Revenue (Millions of US $).1
2024-04-30,"$26,044"
2024-01-31,"$22,103"
2023-10-31,"$18,120"
2023-07-31,"$13,507"
2023-04-30,"$7,192"
2023-01-31,"$6,051"
2022-10-31,"$5,931"
2022-07-31,"$6,704"
2022-04-30,"$8,288"
2022-01-31,"$7,643"
2021-10-31,"$7,103"
2021-07-31,"$6,507"
2021-04-30,"$5,661"
2021-01-31,"$5,003"
2020-10-31,"$4,726"
2020-07-31,"$3,866"
2020-04-30,"$3,080"
2020-01-31,"$3,105"
2019-10-31,"$3,014"
2019-07-31,"$2,579"
2019-04-30,"$2,220"
2019-01-31,"$2,205"
2018-10-31,"$3,181"
2018-07-31,"$3,123"
2018-04-30,"$3,207"
2018-01-31,"$2,911"
2017-10-31,"$2,636"
2017-07-31,"$2,230"
2017-04-30,"$1,937"
2017-01-31,"$2,173"
2016-10-31,"$2,004"
2016-07-31,"$1,428"
2016-04-30,"$1,305"
2016-01-31,"$1,401"
2015-10-31,"$1,305"
2015-07-31,"$1,153"
2015-04-30,"$1,151"
2015-01-31,"$1,251"
2014-10-31,"$1,225"
2014-07-31,"$1,103"
2014-04-30,"$1,103"
2014-01-31,"$1,144"
2013-10-31,"$1,054"
2013-07-31,$977
2013-04-30,$955
2013-01-31,"$1,107"
2012-10-31,"$1,204"
2012-07-31,"$1,044"
2012-04-30,$925
2012-01-31,$953
2011-10-31,"$1,066"
2011-07-31,"$1,017"
2011-04-30,$962
2011-01-31,$886
2010-10-31,$844
2010-07-31,$811
2010-04-30,"$1,002"
2010-01-31,$982
2009-10-31,$903
2009-07-31,$777
2009-04-30,$664
2009-01-31,$481
