PayPal Holdings Quarterly Revenue (Millions of US $),PayPal Holdings Quarterly Revenue (Millions of US $).1
2024-03-31,"$7,699"
2023-12-31,"$8,026"
2023-09-30,"$7,418"
2023-06-30,"$7,287"
2023-03-31,"$7,040"
2022-12-31,"$7,383"
2022-09-30,"$6,846"
2022-06-30,"$6,806"
2022-03-31,"$6,483"
2021-12-31,"$6,918"
2021-09-30,"$6,182"
2021-06-30,"$6,238"
2021-03-31,"$6,033"
2020-12-31,"$6,116"
2020-09-30,"$5,459"
2020-06-30,"$5,261"
2020-03-31,"$4,618"
2019-12-31,"$4,961"
2019-09-30,"$4,378"
2019-06-30,"$4,305"
2019-03-31,"$4,128"
2018-12-31,"$4,226"
2018-09-30,"$3,683"
2018-06-30,"$3,857"
2018-03-31,"$3,685"
2017-12-31,"$3,744"
2017-09-30,"$3,239"
2017-06-30,"$3,136"
2017-03-31,"$2,975"
2016-12-31,"$2,981"
2016-09-30,"$2,667"
2016-06-30,"$2,650"
2016-03-31,"$2,544"
2015-12-31,"$2,556"
2015-09-30,"$2,258"
2015-06-30,"$2,297"
2015-03-31,"$2,137"
2014-12-31,"$2,193"
2014-09-30,"$1,975"
2014-06-30,"$1,983"
2014-03-31,"$1,874"
2013-12-31,
2012-12-31,
