Old Dominion Freight Line Quarterly Revenue (Millions of US $),Old Dominion Freight Line Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,460"
2023-12-31,"$1,496"
2023-09-30,"$1,515"
2023-06-30,"$1,413"
2023-03-31,"$1,442"
2022-12-31,"$1,492"
2022-09-30,"$1,604"
2022-06-30,"$1,667"
2022-03-31,"$1,497"
2021-12-31,"$1,410"
2021-09-30,"$1,400"
2021-06-30,"$1,319"
2021-03-31,"$1,127"
2020-12-31,"$1,073"
2020-09-30,"$1,058"
2020-06-30,$896
2020-03-31,$987
2019-12-31,"$1,009"
2019-09-30,"$1,048"
2019-06-30,"$1,061"
2019-03-31,$991
2018-12-31,"$1,027"
2018-09-30,"$1,058"
2018-06-30,"$1,033"
2018-03-31,$925
2017-12-31,$891
2017-09-30,$873
2017-06-30,$840
2017-03-31,$754
2016-12-31,$746
2016-09-30,$783
2016-06-30,$755
2016-03-31,$708
2015-12-31,$735
2015-09-30,$779
2015-06-30,$762
2015-03-31,$696
2014-12-31,$721
2014-09-30,$744
2014-06-30,$703
2014-03-31,$620
2013-12-31,$592
2013-09-30,$616
2013-06-30,$590
2013-03-31,$538
2012-12-31,$539
2012-09-30,$551
2012-06-30,$547
2012-03-31,$497
2011-12-31,$506
2011-09-30,$494
2011-06-30,$480
2011-03-31,$423
2010-12-31,$399
2010-09-30,$396
2010-06-30,$368
2010-03-31,$318
2009-12-31,$311
2009-09-30,$323
2009-06-30,$316
2009-03-31,$295
