Comcast Quarterly Revenue (Millions of US $),Comcast Quarterly Revenue (Millions of US $).1
2024-03-31,"$30,058"
2023-12-31,"$31,253"
2023-09-30,"$30,115"
2023-06-30,"$30,513"
2023-03-31,"$29,691"
2022-12-31,"$30,552"
2022-09-30,"$29,849"
2022-06-30,"$30,016"
2022-03-31,"$31,010"
2021-12-31,"$30,336"
2021-09-30,"$30,298"
2021-06-30,"$28,546"
2021-03-31,"$27,205"
2020-12-31,"$27,708"
2020-09-30,"$25,532"
2020-06-30,"$23,715"
2020-03-31,"$26,609"
2019-12-31,"$28,398"
2019-09-30,"$26,827"
2019-06-30,"$26,858"
2019-03-31,"$26,859"
2018-12-31,"$27,846"
2018-09-30,"$22,135"
2018-06-30,"$21,735"
2018-03-31,"$22,791"
2017-12-31,"$22,075"
2017-09-30,"$21,081"
2017-06-30,"$21,286"
2017-03-31,"$20,587"
2016-12-31,"$21,358"
2016-09-30,"$21,319"
2016-06-30,"$19,269"
2016-03-31,"$18,790"
2015-12-31,"$19,245"
2015-09-30,"$18,669"
2015-06-30,"$18,743"
2015-03-31,"$17,853"
2014-12-31,"$17,732"
2014-09-30,"$16,791"
2014-06-30,"$16,844"
2014-03-31,"$17,408"
2013-12-31,"$16,926"
2013-09-30,"$16,151"
2013-06-30,"$16,270"
2013-03-31,"$15,310"
2012-12-31,"$15,937"
2012-09-30,"$16,544"
2012-06-30,"$15,211"
2012-03-31,"$14,878"
2011-12-31,"$15,042"
2011-09-30,"$14,339"
2011-06-30,"$14,333"
2011-03-31,"$12,128"
2010-12-31,"$9,721"
2010-09-30,"$9,489"
2010-06-30,"$9,525"
2010-03-31,"$9,202"
2009-12-31,"$9,067"
2009-09-30,"$8,845"
2009-06-30,"$8,978"
2009-03-31,"$8,866"
