Monster Beverage Quarterly Revenue (Millions of US $),Monster Beverage Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,899"
2023-12-31,"$1,730"
2023-09-30,"$1,856"
2023-06-30,"$1,855"
2023-03-31,"$1,699"
2022-12-31,"$1,513"
2022-09-30,"$1,624"
2022-06-30,"$1,655"
2022-03-31,"$1,519"
2021-12-31,"$1,425"
2021-09-30,"$1,411"
2021-06-30,"$1,462"
2021-03-31,"$1,244"
2020-12-31,"$1,196"
2020-09-30,"$1,246"
2020-06-30,"$1,094"
2020-03-31,"$1,062"
2019-12-31,"$1,017"
2019-09-30,"$1,134"
2019-06-30,"$1,104"
2019-03-31,$946
2018-12-31,$924
2018-09-30,"$1,016"
2018-06-30,"$1,016"
2018-03-31,$851
2017-12-31,$810
2017-09-30,$909
2017-06-30,$907
2017-03-31,$742
2016-12-31,$754
2016-09-30,$788
2016-06-30,$827
2016-03-31,$680
2015-12-31,$645
2015-09-30,$757
2015-06-30,$694
2015-03-31,$627
2014-12-31,$606
2014-09-30,$636
2014-06-30,$687
2014-03-31,$536
2013-12-31,$541
2013-09-30,$590
2013-06-30,$631
2013-03-31,$484
2012-12-31,$472
2012-09-30,$542
2012-06-30,$593
2012-03-31,$455
2011-12-31,$410
2011-09-30,$475
2011-06-30,$462
2011-03-31,$356
2010-12-31,$319
2010-09-30,$381
2010-06-30,$366
2010-03-31,$238
2009-12-31,$291
2009-09-30,$308
2009-06-30,$300
2009-03-31,$244
