Honeywell Quarterly Revenue (Millions of US $),Honeywell Quarterly Revenue (Millions of US $).1
2024-03-31,"$9,105"
2023-12-31,"$9,440"
2023-09-30,"$9,212"
2023-06-30,"$9,146"
2023-03-31,"$8,864"
2022-12-31,"$9,186"
2022-09-30,"$8,951"
2022-06-30,"$8,953"
2022-03-31,"$8,376"
2021-12-31,"$8,657"
2021-09-30,"$8,473"
2021-06-30,"$8,808"
2021-03-31,"$8,454"
2020-12-31,"$8,900"
2020-09-30,"$7,797"
2020-06-30,"$7,477"
2020-03-31,"$8,463"
2019-12-31,"$9,496"
2019-09-30,"$9,086"
2019-06-30,"$9,243"
2019-03-31,"$8,884"
2018-12-31,"$9,729"
2018-09-30,"$10,762"
2018-06-30,"$10,919"
2018-03-31,"$10,392"
2017-12-31,"$10,843"
2017-09-30,"$10,121"
2017-06-30,"$10,078"
2017-03-31,"$9,492"
2016-12-31,"$9,985"
2016-09-30,"$9,804"
2016-06-30,"$9,991"
2016-03-31,"$9,522"
2015-12-31,"$9,982"
2015-09-30,"$9,611"
2015-06-30,"$9,775"
2015-03-31,"$9,213"
2014-12-31,"$10,266"
2014-09-30,"$10,108"
2014-06-30,"$10,253"
2014-03-31,"$9,679"
2013-12-31,"$10,387"
2013-09-30,"$9,647"
2013-06-30,"$9,693"
2013-03-31,"$9,328"
2012-12-31,"$9,581"
2012-09-30,"$9,342"
2012-06-30,"$9,435"
2012-03-31,"$9,307"
2011-12-31,"$9,473"
2011-09-30,"$9,298"
2011-06-30,"$9,086"
2011-03-31,"$8,672"
2010-12-31,"$8,509"
2010-09-30,"$8,139"
2010-06-30,"$7,926"
2010-03-31,"$7,776"
2009-12-31,"$7,115"
2009-09-30,"$7,700"
2009-06-30,"$7,566"
2009-03-31,"$7,570"
