Copart Quarterly Revenue (Millions of US $),Copart Quarterly Revenue (Millions of US $).1
2024-04-30,"$1,127"
2024-01-31,"$1,020"
2023-10-31,"$1,020"
2023-07-31,$998
2023-04-30,"$1,022"
2023-01-31,$957
2022-10-31,$893
2022-07-31,$883
2022-04-30,$940
2022-01-31,$867
2021-10-31,$810
2021-07-31,$749
2021-04-30,$734
2021-01-31,$617
2020-10-31,$593
2020-07-31,$526
2020-04-30,$550
2020-01-31,$575
2019-10-31,$554
2019-07-31,$543
2019-04-30,$553
2019-01-31,$485
2018-10-31,$461
2018-07-31,$449
2018-04-30,$478
2018-01-31,$459
2017-10-31,$419
2017-07-31,$379
2017-04-30,$374
2017-01-31,$350
2016-10-31,$346
2016-07-31,$333
2016-04-30,$347
2016-01-31,$300
2015-10-31,$289
2015-07-31,$282
2015-04-30,$297
2015-01-31,$276
2014-10-31,$290
2014-07-31,$287
2014-04-30,$310
2014-01-31,$286
2013-10-31,$280
2013-07-31,$264
2013-04-30,$278
2013-01-31,$266
2012-10-31,$239
2012-07-31,$227
2012-04-30,$244
2012-01-31,$228
2011-10-31,$226
2011-07-31,$215
2011-04-30,$237
2011-01-31,$207
2010-10-31,$213
2010-07-31,$190
2010-04-30,$220
2010-01-31,$177
2009-10-31,$185
2009-07-31,$184
2009-04-30,$197
2009-01-31,$170
