Airbnb Quarterly Revenue (Millions of US $),Airbnb Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,142"
2023-12-31,"$2,218"
2023-09-30,"$3,397"
2023-06-30,"$2,484"
2023-03-31,"$1,818"
2022-12-31,"$1,902"
2022-09-30,"$2,884"
2022-06-30,"$2,104"
2022-03-31,"$1,509"
2021-12-31,"$1,532"
2021-09-30,"$2,237"
2021-06-30,"$1,335"
2021-03-31,$887
2020-12-31,$859
2020-09-30,"$1,342"
2020-06-30,$335
2020-03-31,$842
2019-12-31,
2018-12-31,
2017-12-31,
