Autodesk Quarterly Revenue (Millions of US $),Autodesk Quarterly Revenue (Millions of US $).1
2024-01-31,"$1,469"
2023-10-31,"$1,414"
2023-07-31,"$1,345"
2023-04-30,"$1,269"
2023-01-31,"$1,318"
2022-10-31,"$1,280"
2022-07-31,"$1,237"
2022-04-30,"$1,170"
2022-01-31,"$1,211"
2021-10-31,"$1,126"
2021-07-31,"$1,060"
2021-04-30,$989
2021-01-31,"$1,039"
2020-10-31,$952
2020-07-31,$913
2020-04-30,$886
2020-01-31,$899
2019-10-31,$843
2019-07-31,$797
2019-04-30,$736
2019-01-31,$737
2018-10-31,$661
2018-07-31,$612
2018-04-30,$560
2018-01-31,$554
2017-10-31,$515
2017-07-31,$502
2017-04-30,$486
2017-01-31,$479
2016-10-31,$490
2016-07-31,$551
2016-04-30,$512
2016-01-31,$648
2015-10-31,$600
2015-07-31,$610
2015-04-30,$647
2015-01-31,$665
2014-10-31,$618
2014-07-31,$637
2014-04-30,$593
2014-01-31,$587
2013-10-31,$555
2013-07-31,$562
2013-04-30,$570
2013-01-31,$607
2012-10-31,$548
2012-07-31,$569
2012-04-30,$589
2012-01-31,$592
2011-10-31,$549
2011-07-31,$546
2011-04-30,$528
2011-01-31,$528
2010-10-31,$477
2010-07-31,$473
2010-04-30,$475
2010-01-31,$456
2009-10-31,$417
2009-07-31,$415
2009-04-30,$426
2009-01-31,$490
