Workday Quarterly Revenue (Millions of US $),Workday Quarterly Revenue (Millions of US $).1
2024-01-31,"$1,922"
2023-10-31,"$1,866"
2023-07-31,"$1,787"
2023-04-30,"$1,684"
2023-01-31,"$1,646"
2022-10-31,"$1,599"
2022-07-31,"$1,536"
2022-04-30,"$1,435"
2022-01-31,"$1,376"
2021-10-31,"$1,327"
2021-07-31,"$1,260"
2021-04-30,"$1,175"
2021-01-31,"$1,132"
2020-10-31,"$1,106"
2020-07-31,"$1,062"
2020-04-30,"$1,018"
2020-01-31,$976
2019-10-31,$938
2019-07-31,$888
2019-04-30,$825
2019-01-31,$789
2018-10-31,$743
2018-07-31,$672
2018-04-30,$619
2018-01-31,$582
2017-10-31,$555
2017-07-31,$525
2017-04-30,$480
2017-01-31,$442
2016-10-31,$410
2016-07-31,$378
2016-04-30,$345
2016-01-31,$318
2015-10-31,$305
2015-07-31,$283
2015-04-30,$251
2015-01-31,$226
2014-10-31,$215
2014-07-31,$187
2014-04-30,$160
2014-01-31,$142
2013-10-31,$128
2013-07-31,$108
2013-04-30,$92
2013-01-31,$82
2012-10-31,$73
2012-07-31,$63
2012-04-30,$57
2012-01-31,
2011-10-31,$36
2011-01-31,
2010-01-31,
