Roper Technologies Quarterly Revenue (Millions of US $),Roper Technologies Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,681"
2023-12-31,"$1,614"
2023-09-30,"$1,563"
2023-06-30,"$1,531"
2023-03-31,"$1,470"
2022-12-31,"$1,431"
2022-09-30,"$1,350"
2022-06-30,"$1,311"
2022-03-31,"$1,280"
2021-12-31,"$1,036"
2021-09-30,"$1,232"
2021-06-30,"$1,190"
2021-03-31,"$1,376"
2020-12-31,$169
2020-09-30,"$1,198"
2020-06-30,"$1,305"
2020-03-31,"$1,351"
2019-12-31,$756
2019-09-30,"$1,355"
2019-06-30,"$1,330"
2019-03-31,"$1,287"
2018-12-31,"$1,376"
2018-09-30,"$1,319"
2018-06-30,"$1,294"
2018-03-31,"$1,203"
2017-12-31,"$1,227"
2017-09-30,"$1,160"
2017-06-30,"$1,135"
2017-03-31,"$1,086"
2016-12-31,"$1,011"
2016-09-30,$945
2016-06-30,$932
2016-03-31,$902
2015-12-31,$944
2015-09-30,$884
2015-06-30,$890
2015-03-31,$865
2014-12-31,$946
2014-09-30,$884
2014-06-30,$885
2014-03-31,$834
2013-12-31,$889
2013-09-30,$828
2013-06-30,$784
2013-03-31,$737
2012-12-31,$810
2012-09-30,$748
2012-06-30,$725
2012-03-31,$711
2011-12-31,$739
2011-09-30,$713
2011-06-30,$700
2011-03-31,$645
2010-12-31,$679
2010-09-30,$605
2010-06-30,$567
2010-03-31,$534
2009-12-31,$554
2009-09-30,$486
2009-06-30,$505
2009-03-31,$505
