T-Mobile US Quarterly Revenue (Millions of US $),T-Mobile US Quarterly Revenue (Millions of US $).1
2024-03-31,"$19,594"
2023-12-31,"$20,478"
2023-09-30,"$19,252"
2023-06-30,"$19,196"
2023-03-31,"$19,632"
2022-12-31,"$20,273"
2022-09-30,"$19,477"
2022-06-30,"$19,701"
2022-03-31,"$20,120"
2021-12-31,"$20,785"
2021-09-30,"$19,624"
2021-06-30,"$19,950"
2021-03-31,"$19,759"
2020-12-31,"$20,341"
2020-09-30,"$19,272"
2020-06-30,"$17,671"
2020-03-31,"$11,113"
2019-12-31,"$11,878"
2019-09-30,"$11,061"
2019-06-30,"$10,979"
2019-03-31,"$11,080"
2018-12-31,"$11,445"
2018-09-30,"$10,839"
2018-06-30,"$10,571"
2018-03-31,"$10,455"
2017-12-31,"$10,759"
2017-09-30,"$10,019"
2017-06-30,"$10,213"
2017-03-31,"$9,613"
2016-12-31,"$10,234"
2016-09-30,"$9,305"
2016-06-30,"$9,287"
2016-03-31,"$8,664"
2015-12-31,"$8,661"
2015-09-30,"$7,849"
2015-06-30,"$8,179"
2015-03-31,"$7,778"
2014-12-31,"$8,154"
2014-09-30,"$7,350"
2014-06-30,"$7,185"
2014-03-31,"$6,875"
2013-12-31,"$6,827"
2013-09-30,"$6,688"
2013-06-30,"$6,228"
2013-03-31,"$4,677"
2012-12-31,"$4,909"
2012-09-30,"$4,893"
2012-06-30,"$4,883"
2012-03-31,"$1,277"
2011-12-31,"$1,238"
2011-09-30,"$1,205"
2011-06-30,"$1,209"
2011-03-31,"$1,194"
2010-12-31,"$1,066"
2010-09-30,"$1,021"
2010-06-30,"$1,013"
2010-03-31,$971
2009-12-31,$930
2009-09-30,$896
2009-06-30,$860
2009-03-31,$795
