Atlassian Quarterly Revenue (Millions of US $),Atlassian Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,189"
2023-12-31,"$1,060"
2023-09-30,$978
2023-06-30,$939
2023-03-31,$915
2022-12-31,$873
2022-09-30,$807
2022-06-30,$760
2022-03-31,$740
2021-12-31,$689
2021-09-30,$614
2021-06-30,$560
2021-03-31,$569
2020-12-31,$501
2020-09-30,$460
2020-06-30,$430
2020-03-31,$412
2019-12-31,$409
2019-09-30,$363
2019-06-30,$335
2019-03-31,$309
2018-12-31,$299
2018-09-30,$267
2018-06-30,$247
2018-03-31,$224
2017-12-31,$215
2017-09-30,$195
2017-06-30,$174
2017-03-31,$160
2016-12-31,$149
2016-09-30,$137
2016-06-30,$128
2016-03-31,$118
2015-12-31,$110
2015-09-30,$102
2015-06-30,$92
2015-03-31,$84
2014-12-31,$76
2014-09-30,$68
2014-06-30,
2013-06-30,
