Charter Communications Quarterly Revenue (Millions of US $),Charter Communications Quarterly Revenue (Millions of US $).1
2024-03-31,"$13,679"
2023-12-31,"$13,711"
2023-09-30,"$13,584"
2023-06-30,"$13,659"
2023-03-31,"$13,653"
2022-12-31,"$13,674"
2022-09-30,"$13,550"
2022-06-30,"$13,598"
2022-03-31,"$13,200"
2021-12-31,"$13,212"
2021-09-30,"$13,146"
2021-06-30,"$12,802"
2021-03-31,"$12,522"
2020-12-31,"$12,624"
2020-09-30,"$12,039"
2020-06-30,"$11,696"
2020-03-31,"$11,738"
2019-12-31,"$11,761"
2019-09-30,"$11,450"
2019-06-30,"$11,347"
2019-03-31,"$11,206"
2018-12-31,"$11,231"
2018-09-30,"$10,892"
2018-06-30,"$10,854"
2018-03-31,"$10,657"
2017-12-31,"$10,602"
2017-09-30,"$10,458"
2017-06-30,"$10,357"
2017-03-31,"$10,164"
2016-12-31,"$10,275"
2016-09-30,"$10,037"
2016-06-30,"$6,161"
2016-03-31,"$2,530"
2015-12-31,"$2,512"
2015-09-30,"$2,450"
2015-06-30,"$2,430"
2015-03-31,"$2,362"
2014-12-31,"$2,360"
2014-09-30,"$2,287"
2014-06-30,"$2,259"
2014-03-31,"$2,202"
2013-12-31,"$2,148"
2013-09-30,"$2,118"
2013-06-30,"$1,972"
2013-03-31,"$1,917"
2012-12-31,"$1,913"
2012-09-30,"$1,880"
2012-06-30,"$1,884"
2012-03-31,"$1,827"
2011-12-31,"$1,834"
2011-09-30,"$1,809"
2011-06-30,"$1,791"
2011-03-31,"$1,770"
2010-12-31,"$1,784"
2010-09-30,"$1,769"
2010-06-30,"$1,771"
2010-03-31,"$1,735"
2009-12-31,"$1,710"
2009-09-30,"$1,693"
2009-06-30,"$1,690"
2009-03-31,"$1,662"
