Cintas Quarterly Revenue (Millions of US $),Cintas Quarterly Revenue (Millions of US $).1
2024-02-29,"$2,406"
2023-11-30,"$2,377"
2023-08-31,"$2,342"
2023-05-31,"$2,284"
2023-02-28,"$2,190"
2022-11-30,"$2,175"
2022-08-31,"$2,166"
2022-05-31,"$2,075"
2022-02-28,"$1,961"
2021-11-30,"$1,922"
2021-08-31,"$1,897"
2021-05-31,"$1,836"
2021-02-28,"$1,777"
2020-11-30,"$1,757"
2020-08-31,"$1,747"
2020-05-31,"$1,620"
2020-02-29,"$1,811"
2019-11-30,"$1,844"
2019-08-31,"$1,811"
2019-05-31,"$1,794"
2019-02-28,"$1,682"
2018-11-30,"$1,718"
2018-08-31,"$1,698"
2018-05-31,"$1,670"
2018-02-28,"$1,589"
2017-11-30,"$1,606"
2017-08-31,"$1,612"
2017-05-31,"$1,530"
2017-02-28,"$1,255"
2016-11-30,"$1,271"
2016-08-31,"$1,267"
2016-05-31,"$1,162"
2016-02-29,"$1,216"
2015-11-30,"$1,219"
2015-08-31,"$1,199"
2015-05-31,"$1,035"
2015-02-28,"$1,109"
2014-11-30,"$1,123"
2014-08-31,"$1,102"
2014-05-31,$859
2014-02-28,"$1,111"
2013-11-30,"$1,124"
2013-08-31,"$1,100"
2013-05-31,"$1,059"
2013-02-28,"$1,076"
2012-11-30,"$1,060"
2012-08-31,"$1,051"
2012-05-31,"$1,054"
2012-02-29,"$1,012"
2011-11-30,"$1,019"
2011-08-31,"$1,017"
2011-05-31,"$1,012"
2011-02-28,$938
2010-11-30,$937
2010-08-31,$924
2010-05-31,$909
2010-02-28,$862
2009-11-30,$885
2009-08-31,$892
2009-05-31,$879
2009-02-28,$909
