PACCAR Quarterly Revenue (Millions of US $),PACCAR Quarterly Revenue (Millions of US $).1
2024-03-31,"$8,744"
2023-12-31,"$9,077"
2023-09-30,"$8,696"
2023-06-30,"$8,881"
2023-03-31,"$8,473"
2022-12-31,"$8,129"
2022-09-30,"$7,059"
2022-06-30,"$7,159"
2022-03-31,"$6,473"
2021-12-31,"$6,686"
2021-09-30,"$5,147"
2021-06-30,"$5,844"
2021-03-31,"$5,846"
2020-12-31,"$5,569"
2020-09-30,"$4,936"
2020-06-30,"$3,062"
2020-03-31,"$5,162"
2019-12-31,"$6,117"
2019-09-30,"$6,367"
2019-06-30,"$6,628"
2019-03-31,"$6,488"
2018-12-31,"$6,280"
2018-09-30,"$5,757"
2018-06-30,"$5,805"
2018-03-31,"$5,654"
2017-12-31,"$5,455"
2017-09-30,"$5,060"
2017-06-30,"$4,704"
2017-03-31,"$4,238"
2016-12-31,"$4,071"
2016-09-30,"$4,249"
2016-06-30,"$4,413"
2016-03-31,"$4,300"
2015-12-31,"$4,355"
2015-09-30,"$4,847"
2015-06-30,"$5,080"
2015-03-31,"$4,833"
2014-12-31,"$5,119"
2014-09-30,"$4,928"
2014-06-30,"$4,570"
2014-03-31,"$4,380"
2013-12-31,"$4,599"
2013-09-30,"$4,300"
2013-06-30,"$4,301"
2013-03-31,"$3,924"
2012-12-31,"$3,997"
2012-09-30,"$3,820"
2012-06-30,"$4,457"
2012-03-31,"$4,776"
2011-12-31,"$4,854"
2011-09-30,"$4,257"
2011-06-30,"$3,961"
2011-03-31,"$3,284"
2010-12-31,"$3,056"
2010-09-30,"$2,543"
2010-06-30,"$2,464"
2010-03-31,"$2,231"
2009-12-31,"$2,240"
2009-09-30,"$2,011"
2009-06-30,"$1,849"
2009-03-31,"$1,986"
