Paychex Quarterly Revenue (Millions of US $),Paychex Quarterly Revenue (Millions of US $).1
2024-02-29,"$1,439"
2023-11-30,"$1,258"
2023-08-31,"$1,286"
2023-05-31,"$1,230"
2023-02-28,"$1,381"
2022-11-30,"$1,190"
2022-08-31,"$1,206"
2022-05-31,"$1,144"
2022-02-28,"$1,276"
2021-11-30,"$1,109"
2021-08-31,"$1,083"
2021-05-31,"$1,029"
2021-02-28,"$1,112"
2020-11-30,$984
2020-08-31,$932
2020-05-31,$915
2020-02-29,"$1,143"
2019-11-30,$991
2019-08-31,$992
2019-05-31,$980
2019-02-28,"$1,070"
2018-11-30,$859
2018-08-31,$863
2018-05-31,$846
2018-02-28,$936
2017-11-30,$803
2017-08-31,$793
2017-05-31,$800
2017-02-28,$796
2016-11-30,$771
2016-08-31,$786
2016-05-31,$754
2016-02-29,$753
2015-11-30,$722
2015-08-31,$723
2015-05-31,$692
2015-02-28,$704
2014-11-30,$676
2014-08-31,$667
2014-05-31,$639
2014-02-28,$650
2013-11-30,$616
2013-08-31,$613
2013-05-31,$585
2013-02-28,$593
2012-11-30,$569
2012-08-31,$578
2012-05-31,$552
2012-02-29,$570
2011-11-30,$546
2011-08-31,$563
2011-05-31,$523
2011-02-28,$531
2010-11-30,$512
2010-08-31,$518
2010-05-31,$496
2010-02-28,$508
2009-11-30,$497
2009-08-31,$500
2009-05-31,$496
2009-02-28,$529
