Cisco Quarterly Revenue (Millions of US $),Cisco Quarterly Revenue (Millions of US $).1
2024-04-30,"$12,702"
2024-01-31,"$12,791"
2023-10-31,"$14,668"
2023-07-31,"$15,203"
2023-04-30,"$14,571"
2023-01-31,"$13,592"
2022-10-31,"$13,632"
2022-07-31,"$13,102"
2022-04-30,"$12,835"
2022-01-31,"$12,720"
2021-10-31,"$12,900"
2021-07-31,"$13,126"
2021-04-30,"$12,803"
2021-01-31,"$11,960"
2020-10-31,"$11,929"
2020-07-31,"$12,154"
2020-04-30,"$11,983"
2020-01-31,"$12,005"
2019-10-31,"$13,159"
2019-07-31,"$13,428"
2019-04-30,"$12,958"
2019-01-31,"$12,446"
2018-10-31,"$13,072"
2018-07-31,"$12,844"
2018-04-30,"$12,463"
2018-01-31,"$11,887"
2017-10-31,"$12,136"
2017-07-31,"$12,133"
2017-04-30,"$11,940"
2017-01-31,"$11,580"
2016-10-31,"$12,352"
2016-07-31,"$12,638"
2016-04-30,"$12,000"
2016-01-31,"$11,927"
2015-10-31,"$12,682"
2015-07-31,"$12,843"
2015-04-30,"$12,137"
2015-01-31,"$11,936"
2014-10-31,"$12,245"
2014-07-31,"$12,357"
2014-04-30,"$11,545"
2014-01-31,"$11,155"
2013-10-31,"$12,085"
2013-07-31,"$12,417"
2013-04-30,"$12,216"
2013-01-31,"$12,098"
2012-10-31,"$11,876"
2012-07-31,"$11,690"
2012-04-30,"$11,588"
2012-01-31,"$11,527"
2011-10-31,"$11,256"
2011-07-31,"$11,195"
2011-04-30,"$10,866"
2011-01-31,"$10,407"
2010-10-31,"$10,750"
2010-07-31,"$10,836"
2010-04-30,"$10,368"
2010-01-31,"$9,815"
2009-10-31,"$9,021"
2009-07-31,"$8,535"
2009-04-30,"$8,162"
2009-01-31,"$9,089"
