Constellation Energy Quarterly Revenue (Millions of US $),Constellation Energy Quarterly Revenue (Millions of US $).1
2024-03-31,"$6,161"
2023-12-31,"$5,796"
2023-09-30,"$6,111"
2023-06-30,"$5,446"
2023-03-31,"$7,565"
2022-12-31,"$7,333"
2022-09-30,"$6,051"
2022-06-30,"$5,465"
2022-03-31,"$5,591"
2021-12-31,"$5,531"
2021-09-30,"$4,406"
2021-06-30,"$4,153"
2021-03-31,"$5,559"
2020-12-31,
2019-12-31,
