ANSYS Quarterly Revenue (Millions of US $),ANSYS Quarterly Revenue (Millions of US $).1
2024-03-31,$467
2023-12-31,$805
2023-09-30,$459
2023-06-30,$497
2023-03-31,$509
2022-12-31,$694
2022-09-30,$473
2022-06-30,$474
2022-03-31,$425
2021-12-31,$656
2021-09-30,$441
2021-06-30,$447
2021-03-31,$363
2020-12-31,$624
2020-09-30,$367
2020-06-30,$386
2020-03-31,$305
2019-12-31,$486
2019-09-30,$344
2019-06-30,$369
2019-03-31,$317
2018-12-31,$415
2018-09-30,$289
2018-06-30,$306
2018-03-31,$283
2017-12-31,$302
2017-09-30,$276
2017-06-30,$264
2017-03-31,$253
2016-12-31,$271
2016-09-30,$246
2016-06-30,$246
2016-03-31,$226
2015-12-31,$252
2015-09-30,$238
2015-06-30,$235
2015-03-31,$218
2014-12-31,$254
2014-09-30,$234
2014-06-30,$232
2014-03-31,$215
2013-12-31,$236
2013-09-30,$213
2013-06-30,$215
2013-03-31,$198
2012-12-31,$221
2012-09-30,$197
2012-06-30,$195
2012-03-31,$185
2011-12-31,$198
2011-09-30,$173
2011-06-30,$162
2011-03-31,$158
2010-12-31,$167
2010-09-30,$140
2010-06-30,$138
2010-03-31,$136
2009-12-31,$150
2009-09-30,$128
2009-06-30,$122
2009-03-31,$116
