IDEXX Laboratories Quarterly Revenue (Millions of US $),IDEXX Laboratories Quarterly Revenue (Millions of US $).1
2024-03-31,$964
2023-12-31,$902
2023-09-30,$916
2023-06-30,$944
2023-03-31,$900
2022-12-31,$829
2022-09-30,$842
2022-06-30,$861
2022-03-31,$837
2021-12-31,$801
2021-09-30,$810
2021-06-30,$826
2021-03-31,$778
2020-12-31,$721
2020-09-30,$722
2020-06-30,$638
2020-03-31,$626
2019-12-31,$605
2019-09-30,$605
2019-06-30,$620
2019-03-31,$576
2018-12-31,$549
2018-09-30,$545
2018-06-30,$581
2018-03-31,$538
2017-12-31,$506
2017-09-30,$492
2017-06-30,$509
2017-03-31,$462
2016-12-31,$443
2016-09-30,$448
2016-06-30,$467
2016-03-31,$418
2015-12-31,$400
2015-09-30,$406
2015-06-30,$413
2015-03-31,$382
2014-12-31,$352
2014-09-30,$384
2014-06-30,$390
2014-03-31,$360
2013-12-31,$354
2013-09-30,$338
2013-06-30,$353
2013-03-31,$332
2012-12-31,$320
2012-09-30,$315
2012-06-30,$336
2012-03-31,$323
2011-12-31,$307
2011-09-30,$301
2011-06-30,$318
2011-03-31,$293
2010-12-31,$284
2010-09-30,$270
2010-06-30,$281
2010-03-31,$269
2009-12-31,$270
2009-09-30,$259
2009-06-30,$266
2009-03-31,$236
