Zscaler Quarterly Revenue (Millions of US $),Zscaler Quarterly Revenue (Millions of US $).1
2024-01-31,$525
2023-10-31,$497
2023-07-31,$455
2023-04-30,$419
2023-01-31,$388
2022-10-31,$356
2022-07-31,$318
2022-04-30,$287
2022-01-31,$256
2021-10-31,$231
2021-07-31,$197
2021-04-30,$176
2021-01-31,$157
2020-10-31,$143
2020-07-31,$126
2020-04-30,$111
2020-01-31,$101
2019-10-31,$94
2019-07-31,$86
2019-04-30,$79
2019-01-31,$74
2018-10-31,$63
2018-07-31,$56
2018-04-30,$49
2018-01-31,$45
2017-10-31,$40
2017-07-31,
2017-04-30,$33
2016-07-31,
2015-07-31,
