ADP Quarterly Revenue (Millions of US $),ADP Quarterly Revenue (Millions of US $).1
2024-03-31,"$5,254"
2023-12-31,"$4,668"
2023-09-30,"$4,512"
2023-06-30,"$4,478"
2023-03-31,"$4,928"
2022-12-31,"$4,391"
2022-09-30,"$4,216"
2022-06-30,"$4,128"
2022-03-31,"$4,513"
2021-12-31,"$4,025"
2021-09-30,"$3,832"
2021-06-30,"$3,737"
2021-03-31,"$4,102"
2020-12-31,"$3,696"
2020-09-30,"$3,471"
2020-06-30,"$3,377"
2020-03-31,"$4,048"
2019-12-31,"$3,670"
2019-09-30,"$3,496"
2019-06-30,"$3,479"
2019-03-31,"$3,828"
2018-12-31,"$3,492"
2018-09-30,"$3,310"
2018-06-30,"$3,263"
2018-03-31,"$3,696"
2017-12-31,"$3,238"
2017-09-30,"$3,077"
2017-06-30,"$3,057"
2017-03-31,"$3,411"
2016-12-31,"$2,987"
2016-09-30,"$2,917"
2016-06-30,"$2,898"
2016-03-31,"$3,249"
2015-12-31,"$2,807"
2015-09-30,"$2,714"
2015-06-30,"$2,695"
2015-03-31,"$3,024"
2014-12-31,"$2,654"
2014-09-30,"$2,566"
2014-06-30,"$2,546"
2014-03-31,"$2,825"
2013-12-31,"$2,494"
2013-09-30,"$2,362"
2013-06-30,$947
2013-03-31,"$3,109"
2012-12-31,"$2,748"
2012-09-30,"$2,638"
2012-06-30,"$2,603"
2012-03-31,"$2,911"
2011-12-31,"$2,571"
2011-09-30,"$2,511"
2011-06-30,"$2,461"
2011-03-31,"$2,737"
2010-12-31,"$2,406"
2010-09-30,"$2,229"
2010-06-30,"$2,190"
2010-03-31,"$2,443"
2009-12-31,"$2,198"
2009-09-30,"$2,096"
2009-06-30,"$2,085"
2009-03-31,"$2,369"
