CSX Quarterly Revenue (Millions of US $),CSX Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,681"
2023-12-31,"$3,680"
2023-09-30,"$3,572"
2023-06-30,"$3,699"
2023-03-31,"$3,706"
2022-12-31,"$3,730"
2022-09-30,"$3,895"
2022-06-30,"$3,815"
2022-03-31,"$3,413"
2021-12-31,"$3,427"
2021-09-30,"$3,292"
2021-06-30,"$2,990"
2021-03-31,"$2,813"
2020-12-31,"$2,825"
2020-09-30,"$2,648"
2020-06-30,"$2,255"
2020-03-31,"$2,855"
2019-12-31,"$2,885"
2019-09-30,"$2,978"
2019-06-30,"$3,061"
2019-03-31,"$3,013"
2018-12-31,"$3,143"
2018-09-30,"$3,129"
2018-06-30,"$3,102"
2018-03-31,"$2,876"
2017-12-31,"$2,863"
2017-09-30,"$2,743"
2017-06-30,"$2,933"
2017-03-31,"$2,869"
2016-12-31,"$3,037"
2016-09-30,"$2,710"
2016-06-30,"$2,704"
2016-03-31,"$2,618"
2015-12-31,"$2,781"
2015-09-30,"$2,939"
2015-06-30,"$3,064"
2015-03-31,"$3,027"
2014-12-31,"$3,192"
2014-09-30,"$3,221"
2014-06-30,"$3,244"
2014-03-31,"$3,012"
2013-12-31,"$3,032"
2013-09-30,"$2,985"
2013-06-30,"$3,046"
2013-03-31,"$2,963"
2012-12-31,"$2,891"
2012-09-30,"$2,894"
2012-06-30,"$3,012"
2012-03-31,"$2,966"
2011-12-31,"$3,003"
2011-09-30,"$2,963"
2011-06-30,"$3,019"
2011-03-31,"$2,810"
2010-12-31,"$2,816"
2010-09-30,"$2,666"
2010-06-30,"$2,663"
2010-03-31,"$2,491"
2009-12-31,"$2,320"
2009-09-30,"$2,289"
2009-06-30,"$2,185"
2009-03-31,"$2,247"
