Lam Research Quarterly Revenue (Millions of US $),Lam Research Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,794"
2023-12-31,"$3,758"
2023-09-30,"$3,482"
2023-06-30,"$3,207"
2023-03-31,"$3,870"
2022-12-31,"$5,278"
2022-09-30,"$5,074"
2022-06-30,"$4,636"
2022-03-31,"$4,060"
2021-12-31,"$4,227"
2021-09-30,"$4,304"
2021-06-30,"$4,145"
2021-03-31,"$3,848"
2020-12-31,"$3,456"
2020-09-30,"$3,177"
2020-06-30,"$2,792"
2020-03-31,"$2,504"
2019-12-31,"$2,584"
2019-09-30,"$2,166"
2019-06-30,"$2,361"
2019-03-31,"$2,439"
2018-12-31,"$2,523"
2018-09-30,"$2,331"
2018-06-30,"$3,126"
2018-03-31,"$2,892"
2017-12-31,"$2,581"
2017-09-30,"$2,478"
2017-06-30,"$2,345"
2017-03-31,"$2,154"
2016-12-31,"$1,882"
2016-09-30,"$1,632"
2016-06-30,"$1,546"
2016-03-31,"$1,314"
2015-12-31,"$1,426"
2015-09-30,"$1,600"
2015-06-30,"$1,481"
2015-03-31,"$1,393"
2014-12-31,"$1,232"
2014-09-30,"$1,152"
2014-06-30,"$1,249"
2014-03-31,"$1,227"
2013-12-31,"$1,116"
2013-09-30,"$1,015"
2013-06-30,$986
2013-03-31,$845
2012-12-31,$861
2012-09-30,$907
2012-06-30,$742
2012-03-31,$659
2011-12-31,$584
2011-09-30,$680
2011-06-30,$752
2011-03-31,$809
2010-12-31,$871
2010-09-30,$806
2010-06-30,$695
2010-03-31,$633
2009-12-31,$487
2009-09-30,$319
2009-06-30,$218
2009-03-31,$174
