Texas Instruments Quarterly Revenue (Millions of US $),Texas Instruments Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,661"
2023-12-31,"$4,077"
2023-09-30,"$4,532"
2023-06-30,"$4,531"
2023-03-31,"$4,379"
2022-12-31,"$4,670"
2022-09-30,"$5,241"
2022-06-30,"$5,212"
2022-03-31,"$4,905"
2021-12-31,"$4,832"
2021-09-30,"$4,643"
2021-06-30,"$4,580"
2021-03-31,"$4,289"
2020-12-31,"$4,076"
2020-09-30,"$3,817"
2020-06-30,"$3,239"
2020-03-31,"$3,329"
2019-12-31,"$3,350"
2019-09-30,"$3,771"
2019-06-30,"$3,668"
2019-03-31,"$3,594"
2018-12-31,"$3,717"
2018-09-30,"$4,261"
2018-06-30,"$4,017"
2018-03-31,"$3,789"
2017-12-31,"$3,750"
2017-09-30,"$4,116"
2017-06-30,"$3,693"
2017-03-31,"$3,402"
2016-12-31,"$3,414"
2016-09-30,"$3,675"
2016-06-30,"$3,273"
2016-03-31,"$3,008"
2015-12-31,"$3,189"
2015-09-30,"$3,429"
2015-06-30,"$3,232"
2015-03-31,"$3,150"
2014-12-31,"$3,269"
2014-09-30,"$3,501"
2014-06-30,"$3,292"
2014-03-31,"$2,983"
2013-12-31,"$3,029"
2013-09-30,"$3,244"
2013-06-30,"$3,047"
2013-03-31,"$2,885"
2012-12-31,"$2,979"
2012-09-30,"$3,390"
2012-06-30,"$3,335"
2012-03-31,"$3,121"
2011-12-31,"$3,419"
2011-09-30,"$3,466"
2011-06-30,"$3,458"
2011-03-31,"$3,392"
2010-12-31,"$3,525"
2010-09-30,"$3,740"
2010-06-30,"$3,496"
2010-03-31,"$3,205"
2009-12-31,"$3,004"
2009-09-30,"$2,880"
2009-06-30,"$2,457"
2009-03-31,"$2,086"
