American Electric Power Quarterly Revenue (Millions of US $),American Electric Power Quarterly Revenue (Millions of US $).1
2024-03-31,"$5,026"
2023-12-31,"$4,577"
2023-09-30,"$5,342"
2023-06-30,"$4,373"
2023-03-31,"$4,691"
2022-12-31,"$4,881"
2022-09-30,"$5,526"
2022-06-30,"$4,640"
2022-03-31,"$4,593"
2021-12-31,"$4,061"
2021-09-30,"$4,623"
2021-06-30,"$3,827"
2021-03-31,"$4,281"
2020-12-31,"$3,611"
2020-09-30,"$4,066"
2020-06-30,"$3,494"
2020-03-31,"$3,748"
2019-12-31,"$3,616"
2019-09-30,"$4,315"
2019-06-30,"$3,574"
2019-03-31,"$4,057"
2018-12-31,"$3,801"
2018-09-30,"$4,333"
2018-06-30,"$4,013"
2018-03-31,"$4,048"
2017-12-31,"$3,810"
2017-09-30,"$4,105"
2017-06-30,"$3,577"
2017-03-31,"$3,933"
2016-12-31,"$3,790"
2016-09-30,"$4,652"
2016-06-30,"$3,893"
2016-03-31,"$4,045"
2015-12-31,"$3,615"
2015-09-30,"$4,431"
2015-06-30,"$3,827"
2015-03-31,"$4,580"
2014-12-31,"$3,526"
2014-09-30,"$4,161"
2014-06-30,"$4,044"
2014-03-31,"$4,648"
2013-12-31,"$3,230"
2013-09-30,"$4,176"
2013-06-30,"$3,582"
2013-03-31,"$3,826"
2012-12-31,"$3,613"
2012-09-30,"$4,156"
2012-06-30,"$3,551"
2012-03-31,"$3,625"
2011-12-31,"$3,444"
2011-09-30,"$4,333"
2011-06-30,"$3,609"
2011-03-31,"$3,730"
2010-12-31,"$3,434"
2010-09-30,"$4,064"
2010-06-30,"$3,360"
2010-03-31,"$3,569"
2009-12-31,"$3,282"
2009-09-30,"$3,547"
2009-06-30,"$3,202"
2009-03-31,"$3,458"
