Sirius XM Holdings Quarterly Revenue (Millions of US $),Sirius XM Holdings Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,162"
2023-12-31,"$2,288"
2023-09-30,"$2,271"
2023-06-30,"$2,250"
2023-03-31,"$2,144"
2022-12-31,"$2,284"
2022-09-30,"$2,280"
2022-06-30,"$2,253"
2022-03-31,"$2,186"
2021-12-31,"$2,281"
2021-09-30,"$2,198"
2021-06-30,"$2,159"
2021-03-31,"$2,058"
2020-12-31,"$2,189"
2020-09-30,"$2,025"
2020-06-30,"$1,874"
2020-03-31,"$1,952"
2019-12-31,"$2,062"
2019-09-30,"$2,011"
2019-06-30,"$1,977"
2019-03-31,"$1,744"
2018-12-31,"$1,497"
2018-09-30,"$1,467"
2018-06-30,"$1,432"
2018-03-31,"$1,375"
2017-12-31,"$1,404"
2017-09-30,"$1,380"
2017-06-30,"$1,348"
2017-03-31,"$1,294"
2016-12-31,"$1,303"
2016-09-30,"$1,278"
2016-06-30,"$1,236"
2016-03-31,"$1,201"
2015-12-31,"$1,196"
2015-09-30,"$1,170"
2015-06-30,"$1,123"
2015-03-31,"$1,081"
2014-12-31,"$1,091"
2014-09-30,"$1,057"
2014-06-30,"$1,035"
2014-03-31,$998
2013-12-31,"$1,000"
2013-09-30,$962
2013-06-30,$940
2013-03-31,$897
2012-12-31,$892
2012-09-30,$867
2012-06-30,$838
2012-03-31,$805
2011-12-31,$784
2011-09-30,$763
2011-06-30,$744
2011-03-31,$724
2010-12-31,$736
2010-09-30,$718
2010-06-30,$700
2010-03-31,$664
2009-12-31,$676
2009-09-30,$619
2009-06-30,$591
2009-03-31,$587
