Adobe Quarterly Revenue (Millions of US $),Adobe Quarterly Revenue (Millions of US $).1
2024-02-29,"$5,182"
2023-11-30,"$5,048"
2023-08-31,"$4,890"
2023-05-31,"$4,816"
2023-02-28,"$4,655"
2022-11-30,"$4,525"
2022-08-31,"$4,433"
2022-05-31,"$4,386"
2022-02-28,"$4,262"
2021-11-30,"$4,110"
2021-08-31,"$3,935"
2021-05-31,"$3,835"
2021-02-28,"$3,905"
2020-11-30,"$3,424"
2020-08-31,"$3,225"
2020-05-31,"$3,128"
2020-02-29,"$3,091"
2019-11-30,"$2,992"
2019-08-31,"$2,834"
2019-05-31,"$2,744"
2019-02-28,"$2,601"
2018-11-30,"$2,465"
2018-08-31,"$2,291"
2018-05-31,"$2,195"
2018-02-28,"$2,079"
2017-11-30,"$2,007"
2017-08-31,"$1,841"
2017-05-31,"$1,772"
2017-02-28,"$1,682"
2016-11-30,"$1,608"
2016-08-31,"$1,464"
2016-05-31,"$1,399"
2016-02-29,"$1,383"
2015-11-30,"$1,306"
2015-08-31,"$1,218"
2015-05-31,"$1,162"
2015-02-28,"$1,109"
2014-11-30,"$1,073"
2014-08-31,"$1,005"
2014-05-31,"$1,068"
2014-02-28,"$1,000"
2013-11-30,"$1,042"
2013-08-31,$995
2013-05-31,"$1,011"
2013-02-28,"$1,008"
2012-11-30,"$1,153"
2012-08-31,"$1,081"
2012-05-31,"$1,124"
2012-02-29,"$1,045"
2011-11-30,"$1,152"
2011-08-31,"$1,013"
2011-05-31,"$1,023"
2011-02-28,"$1,028"
2010-11-30,"$1,008"
2010-08-31,$990
2010-05-31,$943
2010-02-28,$859
2009-11-30,$757
2009-08-31,$698
2009-05-31,$705
2009-02-28,$786
