Microchip Technology Quarterly Revenue (Millions of US $),Microchip Technology Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,326"
2023-12-31,"$1,766"
2023-09-30,"$2,254"
2023-06-30,"$2,289"
2023-03-31,"$2,233"
2022-12-31,"$2,169"
2022-09-30,"$2,073"
2022-06-30,"$1,964"
2022-03-31,"$1,844"
2021-12-31,"$1,758"
2021-09-30,"$1,650"
2021-06-30,"$1,569"
2021-03-31,"$1,467"
2020-12-31,"$1,352"
2020-09-30,"$1,310"
2020-06-30,"$1,310"
2020-03-31,"$1,326"
2019-12-31,"$1,287"
2019-09-30,"$1,338"
2019-06-30,"$1,323"
2019-03-31,"$1,330"
2018-12-31,"$1,375"
2018-09-30,"$1,433"
2018-06-30,"$1,213"
2018-03-31,"$1,002"
2017-12-31,$994
2017-09-30,"$1,012"
2017-06-30,$972
2017-03-31,$903
2016-12-31,$834
2016-09-30,$871
2016-06-30,$799
2016-03-31,$558
2015-12-31,$540
2015-09-30,$541
2015-06-30,$534
2015-03-31,$543
2014-12-31,$529
2014-09-30,$546
2014-06-30,$529
2014-03-31,$493
2013-12-31,$482
2013-09-30,$493
2013-06-30,$463
2013-03-31,$430
2012-12-31,$416
2012-09-30,$383
2012-06-30,$352
2012-03-31,$339
2011-12-31,$329
2011-09-30,$341
2011-06-30,$375
2011-03-31,$380
2010-12-31,$368
2010-09-30,$382
2010-06-30,$357
2010-03-31,$278
2009-12-31,$250
2009-09-30,$227
2009-06-30,$193
2009-03-31,$173
