KLA Quarterly Revenue (Millions of US $),KLA Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,360"
2023-12-31,"$2,487"
2023-09-30,"$2,397"
2023-06-30,"$2,355"
2023-03-31,"$2,433"
2022-12-31,"$2,984"
2022-09-30,"$2,724"
2022-06-30,"$2,487"
2022-03-31,"$2,289"
2021-12-31,"$2,353"
2021-09-30,"$2,084"
2021-06-30,"$1,925"
2021-03-31,"$1,804"
2020-12-31,"$1,651"
2020-09-30,"$1,539"
2020-06-30,"$1,460"
2020-03-31,"$1,424"
2019-12-31,"$1,509"
2019-09-30,"$1,413"
2019-06-30,"$1,258"
2019-03-31,"$1,097"
2018-12-31,"$1,120"
2018-09-30,"$1,093"
2018-06-30,"$1,070"
2018-03-31,"$1,021"
2017-12-31,$976
2017-09-30,$970
2017-06-30,$939
2017-03-31,$914
2016-12-31,$877
2016-09-30,$751
2016-06-30,$919
2016-03-31,$712
2015-12-31,$710
2015-09-30,$643
2015-06-30,$756
2015-03-31,$738
2014-12-31,$676
2014-09-30,$643
2014-06-30,$734
2014-03-31,$832
2013-12-31,$705
2013-09-30,$658
2013-06-30,$720
2013-03-31,$729
2012-12-31,$673
2012-09-30,$721
2012-06-30,$892
2012-03-31,$841
2011-12-31,$642
2011-09-30,$796
2011-06-30,$892
2011-03-31,$834
2010-12-31,$766
2010-09-30,$682
2010-06-30,$559
2010-03-31,$478
2009-12-31,$440
2009-09-30,$343
2009-06-30,$282
2009-03-31,$310
