Marriott Quarterly Revenue (Millions of US $),Marriott Quarterly Revenue (Millions of US $).1
2024-03-31,"$5,977"
2023-12-31,"$6,095"
2023-09-30,"$5,928"
2023-06-30,"$6,075"
2023-03-31,"$5,615"
2022-12-31,"$5,923"
2022-09-30,"$5,313"
2022-06-30,"$5,338"
2022-03-31,"$4,199"
2021-12-31,"$4,446"
2021-09-30,"$3,946"
2021-06-30,"$3,149"
2021-03-31,"$2,316"
2020-12-31,"$2,172"
2020-09-30,"$2,254"
2020-06-30,"$1,464"
2020-03-31,"$4,681"
2019-12-31,"$5,371"
2019-09-30,"$5,284"
2019-06-30,"$5,305"
2019-03-31,"$5,012"
2018-12-31,"$5,289"
2018-09-30,"$5,051"
2018-06-30,"$5,409"
2018-03-31,"$5,009"
2017-12-31,"$5,251"
2017-09-30,"$5,078"
2017-06-30,"$5,211"
2017-03-31,"$4,912"
2016-12-31,"$3,791"
2016-09-30,"$3,942"
2016-06-30,"$3,902"
2016-03-31,"$3,772"
2015-12-31,"$3,706"
2015-09-30,"$3,578"
2015-06-30,"$3,689"
2015-03-31,"$3,513"
2014-12-31,"$3,559"
2014-09-30,"$3,460"
2014-06-30,"$3,484"
2014-03-31,"$3,293"
2013-12-31,"$3,219"
2013-09-30,"$3,160"
2013-06-30,"$3,263"
2013-03-31,"$3,142"
2012-12-31,"$3,757"
2012-09-30,"$2,729"
2012-06-30,"$2,776"
2012-03-31,"$2,552"
2011-12-31,"$3,693"
2011-09-30,"$2,874"
2011-06-30,"$2,972"
2011-03-31,"$2,778"
2010-12-31,"$3,642"
2010-09-30,"$2,648"
2010-06-30,"$2,771"
2010-03-31,"$2,630"
2009-12-31,"$3,380"
2009-09-30,"$2,471"
2009-06-30,"$2,562"
2009-03-31,"$2,495"
