Dayforce PE Ratio Historical Data,Dayforce PE Ratio Historical Data,Dayforce PE Ratio Historical Data,Dayforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,56.16,,170.18
2024-03-31,66.21,$0.33,200.64
2023-12-31,67.12,$0.35,191.77
2023-09-30,67.85,$0.03,2261.67
2023-06-30,66.97,$-0.09,0.0
2023-03-31,73.22,$-0.24,0.0
2022-12-31,64.15,$-0.48,0.0
2022-09-30,55.88,$-0.51,0.0
2022-06-30,47.08,$-0.51,0.0
2022-03-31,68.36,$-0.55,0.0
2021-12-31,104.46,$-0.50,0.0
2021-09-30,112.62,$-0.56,0.0
2021-06-30,95.92,$-0.43,0.0
2021-03-31,84.27,$-0.22,0.0
2020-12-31,106.56,$-0.03,0.0
2020-09-30,82.65,$0.08,1033.13
2020-06-30,79.27,$0.51,155.43
2020-03-31,50.07,$0.51,98.18
2019-12-31,67.88,$0.53,128.08
2019-09-30,49.37,$0.61,80.93
2019-06-30,50.2,$0.22,228.18
2019-03-31,51.3,$-0.42,0.0
