Moderna PE Ratio Historical Data,Moderna PE Ratio Historical Data,Moderna PE Ratio Historical Data,Moderna PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,166.61,,0.0
2024-03-31,106.56,$-15.67,0.0
2023-12-31,99.45,$-12.41,0.0
2023-09-30,103.29,$-9.35,0.0
2023-06-30,121.5,$2.71,44.83
2023-03-31,153.58,$11.57,13.27
2022-12-31,179.62,$19.96,9.0
2022-09-30,118.25,$27.64,4.28
2022-06-30,142.85,$32.81,4.35
2022-03-31,172.26,$34.03,5.06
2021-12-31,253.98,$28.29,8.98
2021-09-30,384.86,$16.31,23.6
2021-06-30,234.98,$8.02,29.3
2021-03-31,130.95,$1.25,104.76
2020-12-31,104.47,$-1.94,0.0
2020-09-30,70.75,$-1.62,0.0
2020-06-30,64.21,$-1.40,0.0
2020-03-31,29.95,$-1.50,0.0
2019-12-31,19.56,$-1.15,0.0
2019-09-30,15.92,$-1.18,0.0
