DoorDash PE Ratio Historical Data,DoorDash PE Ratio Historical Data,DoorDash PE Ratio Historical Data,DoorDash PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,112.83,,0.0
2024-03-31,137.72,$-1.08,0.0
2023-12-31,98.89,$-1.43,0.0
2023-09-30,79.47,$-2.69,0.0
2023-06-30,76.42,$-3.27,0.0
2023-03-31,63.56,$-3.55,0.0
2022-12-31,48.82,$-3.62,0.0
2022-09-30,49.45,$-2.42,0.0
2022-06-30,64.17,$-1.95,0.0
2022-03-31,117.19,$-1.53,0.0
2021-12-31,148.9,$-1.39,0.0
2021-09-30,205.98,$-3.61,0.0
