L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,223.25,,36.24
2024-03-31,213.1,$6.16,34.59
2023-12-31,209.48,$6.44,32.53
2023-09-30,173.18,$7.78,22.26
2023-06-30,194.71,$4.20,46.36
2023-03-31,193.93,$4.79,40.49
2022-12-31,205.76,$5.47,37.62
2022-09-30,205.38,$5.76,35.66
2022-06-30,238.85,$9.71,24.6
2022-03-31,244.4,$9.30,26.28
2021-12-31,208.83,$9.11,22.92
2021-09-30,215.69,$7.56,28.53
2021-06-30,211.68,$7.15,29.61
2021-03-31,198.49,$6.44,30.82
2020-12-31,184.11,$5.18,35.54
2020-09-30,164.72,$4.27,38.58
2020-06-30,163.78,$4.19,39.09
