Kimco Realty Quarterly Net Income (Millions of US $),Kimco Realty Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$-19
2023-12-31,$133
2023-09-30,$112
2023-06-30,$100
2023-03-31,$284
2022-12-31,$-56
2022-09-30,$52
2022-06-30,$-126
2022-03-31,$231
2021-12-31,$75
2021-09-30,$501
2021-06-30,$110
2021-03-31,$132
2020-12-31,$195
2020-09-30,$-45
2020-06-30,$742
2020-03-31,$84
2019-12-31,$93
2019-09-30,$59
2019-06-30,$86
2019-03-31,$102
2018-12-31,$64
2018-09-30,$86
2018-06-30,$151
2018-03-31,$130
2017-12-31,$71
2017-09-30,$102
2017-06-30,$132
2017-03-31,$65
2016-12-31,$65
2016-09-30,$-55
2016-06-30,$192
2016-03-31,$129
2015-12-31,$360
2015-09-30,$63
2015-06-30,$112
2015-03-31,$296
2014-12-31,$38
2014-09-30,$180
2014-06-30,$75
2014-03-31,$72
2013-12-31,$47
2013-09-30,$41
2013-06-30,$37
2013-03-31,$53
2012-12-31,$60
2012-09-30,$27
2012-06-30,$48
2012-03-31,$38
2011-12-31,$32
2011-09-30,$40
2011-06-30,$24
2011-03-31,$14
2010-12-31,$22
2010-09-30,$17
2010-06-30,$13
2010-03-31,$39
2009-12-31,$40
2009-09-30,$28
2009-06-30,$-146
2009-03-31,$27
