Newmont Quarterly Net Income (Millions of US $),Newmont Quarterly Net Income (Millions of US $).1
2024-06-30,$853
2024-03-31,$170
2023-12-31,"$-3,158"
2023-09-30,$158
2023-06-30,$155
2023-03-31,$351
2022-12-31,"$-1,477"
2022-09-30,$213
2022-06-30,$387
2022-03-31,$448
2021-12-31,$-46
2021-09-30,$3
2021-06-30,$650
2021-03-31,$559
2020-12-31,$824
2020-09-30,$839
2020-06-30,$344
2020-03-31,$822
2019-12-31,$565
2019-09-30,"$2,178"
2019-06-30,$-25
2019-03-31,$87
2018-12-31,$2
2018-09-30,$-145
2018-06-30,$292
2018-03-31,$192
2017-12-31,$-542
2017-09-30,$206
2017-06-30,$175
2017-03-31,$47
2016-12-31,$-346
2016-09-30,$-358
2016-06-30,$23
2016-03-31,$52
2015-12-31,$-254
2015-09-30,$219
2015-06-30,$72
2015-03-31,$183
2014-12-31,$15
2014-09-30,$213
2014-06-30,$180
2014-03-31,$100
2013-12-31,"$-1,187"
2013-09-30,$398
2013-06-30,"$-2,059"
2013-03-31,$314
2012-12-31,$666
2012-09-30,$367
2012-06-30,$279
2012-03-31,$490
2011-12-31,"$-1,028"
2011-09-30,$493
2011-06-30,$387
2011-03-31,$514
2010-12-31,$812
2010-09-30,$537
2010-06-30,$382
2010-03-31,$546
2009-12-31,$558
2009-09-30,$388
2009-06-30,$162
2009-03-31,$189
