Intuit Quarterly Net Income (Millions of US $),Intuit Quarterly Net Income (Millions of US $).1
2024-07-31,$-20
2024-04-30,"$2,389"
2024-01-31,$353
2023-10-31,$241
2023-07-31,$89
2023-04-30,"$2,087"
2023-01-31,$168
2022-10-31,$40
2022-07-31,$-56
2022-04-30,"$1,794"
2022-01-31,$100
2021-10-31,$228
2021-07-31,$380
2021-04-30,"$1,464"
2021-01-31,$20
2020-10-31,$198
2020-07-31,$445
2020-04-30,"$1,084"
2020-01-31,$240
2019-10-31,$57
2019-07-31,$-44
2019-04-30,"$1,378"
2019-01-31,$189
2018-10-31,$34
2018-07-31,$-38
2018-04-30,"$1,186"
2018-01-31,$183
2017-10-31,$-2
2017-07-31,$38
2017-04-30,$964
2017-01-31,$13
2016-10-31,$-30
2016-07-31,$-40
2016-04-30,"$1,026"
2016-01-31,$24
2015-10-31,$-31
2015-07-31,$14
2015-04-30,$501
2015-01-31,$-66
2014-10-31,$-84
2014-07-31,$-29
2014-04-30,$984
2014-01-31,$-37
2013-10-31,$-11
2013-07-31,$-16
2013-04-30,$822
2013-01-31,$71
2012-10-31,$-19
2012-07-31,$4
2012-04-30,$734
2012-01-31,$118
2011-10-31,$-64
2011-07-31,$-57
2011-04-30,$688
2011-01-31,$73
2010-10-31,$-70
2010-07-31,$-48
2010-04-30,$576
2010-01-31,$114
2009-10-31,$-68
2009-07-31,$-71
2009-04-30,$485
2009-01-31,$85
