CMS Energy Quarterly Net Income (Millions of US $),CMS Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$195
2024-03-31,$285
2023-12-31,$306
2023-09-30,$174
2023-06-30,$195
2023-03-31,$202
2022-12-31,$168
2022-09-30,$163
2022-06-30,$145
2022-03-31,$351
2021-12-31,$637
2021-09-30,$186
2021-06-30,$176
2021-03-31,$349
2020-12-31,$158
2020-09-30,$218
2020-06-30,$136
2020-03-31,$243
2019-12-31,$167
2019-09-30,$207
2019-06-30,$93
2019-03-31,$213
2018-12-31,$108
2018-09-30,$169
2018-06-30,$139
2018-03-31,$241
2017-12-31,$-3
2017-09-30,$172
2017-06-30,$92
2017-03-31,$199
2016-12-31,$77
2016-09-30,$186
2016-06-30,$124
2016-03-31,$164
2015-12-31,$106
2015-09-30,$148
2015-06-30,$67
2015-03-31,$202
2014-12-31,$96
2014-09-30,$94
2014-06-30,$83
2014-03-31,$204
2013-12-31,$102
2013-09-30,$126
2013-06-30,$80
2013-03-31,$144
2012-12-31,$67
2012-09-30,$148
2012-06-30,$100
2012-03-31,$67
2011-12-31,$41
2011-09-30,$139
2011-06-30,$100
2011-03-31,$135
2010-12-31,$25
2010-09-30,$134
2010-06-30,$80
2010-03-31,$85
2009-12-31,$6
2009-09-30,$67
2009-06-30,$75
2009-03-31,$70
